CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	FormulaWeight	Temperature	PublicationYear	Quality	A1	A1_frac	A2	A2_frac	B1	B1_frac	B2	B2_frac	O	O_frac	a	b	c	alpha	beta	gamma	SpaceGroupNum	CrystalClass	atom_numA1	atom_numA2	atom_numB1	atom_numB2	atom_numO	mend_numA1	mend_numA2	mend_numB1	mend_numB2	mend_numO	atomic_rA1	atomic_rA2	atomic_rB1	atomic_rB2	atomic_rO	A1_X	A2_X	B1_X	B2_X	O_X	M_A1	M_A2	M_B1	M_B2	M_O	V_A1	V_A2	V_B1	V_B2	V_O	therm_con_A1	therm_con_A2	therm_con_B1	therm_con_B2	therm_con_O	polarizability_A1	polarizability_A2	polarizability_B1	polarizability_B2	polarizability_O	lattice_const_A1	lattice_const_A2	lattice_const_B1	lattice_const_B2	lattice_const_O	Row_A1	Row_A2	Row_B1	Row_B2	Row_O	Group_A1	Group_A2	Group_B1	Group_B2	Group_O	nA	nB	nO	rA_avg	rB_avg	rO	rA/rB	rA/rO	rB/rO	rA-rB	Goldschmidt_TF	SISSO_1	SISSO_2	SISSO_3	SISSO_4	SISSO_5	SISSO_6	SISSO_7	SISSO_8	SISSO_9	SISSO_10
40265	P n n 2	Li2Sn(TeO6)	Li2TiTeO6	Choisnet, J.; Rulmont, A.; Tarte, P.	5.192(2) 4.927(2) 8.513(5) 90 90 90	217.77	356.162	293.0	1989	-1	Li	1.0	_	0.0	Sn	0.5	Te	0.5	O	3.0	5.192	4.927	8.513	90	90	90	34	orthorhombic	3	0	50	52	8	12.0	0.0	83.0	92.0	101.0	1.45	0.0	1.45	1.4	0.6	0.98	0.0	1.96	2.1	3.44	6.941	0.0	118.71	127.6	15.9994	13.02	0.0	16.29	20.46	17.36	85.0	0.0	67.0	3.0	0.02658	164.1125	0.0	53.0	38.0	5.3	3.49	0.0	5.82	4.45	6.83	2	0	5	5	2	1	0	14	16	16	1.0	5.0	-2	0.9	0.7649999999999999	1.26	1.1764705882352944	0.7142857142857143	0.6071428571428571	0.13500000000000012	0.7542472332656507	47.991375	24.53	2.47	0.0008969907407407407	36.57	165.07102941176473	165.69027664503037	167.1052129910376	-0.6454538659734768	1.1248039215686274
80423	P m n 21	(CsTa)B2O6	CsNbOB2O5	Akella, A.; Keszler, D.A.	7.5479(9) 3.9064(4) 9.7713(9) 90 90 90	288.11	431.476	293.0	1995	10	Cs	0.5	Ta	0.5	B	1.0	_	0.0	O	3.0	7.5479	3.9064	9.7713	90	90	90	31	orthorhombic	55	73	5	0	8	8.0	52.0	86.0	0.0	101.0	2.6	1.45	0.85	0.0	0.6	0.79	1.5	2.04	0.0	3.44	132.9054519	180.94788	10.811	0.0	15.9994	70.94	10.85	4.39	0.0	17.36	36.0	57.0	27.0	0.0	0.02658	400.9	74.0	20.5	0.0	5.3	6.05	3.31	8.73	0.0	6.83	6	6	2	0	2	1	5	13	0	16	3.0	3.0	-2	1.295	0.41	1.26	3.158536585365854	1.0277777777777777	0.32539682539682535	0.885	1.0818310334919932	0.8840000000000003	66.03999999999999	7.35	0.005078125	55.07999999999999	404.62646341463415	404.8232944481261	407.65128040514026	-0.3447126806859512	2.3985365853658536
88703	I 4/m	Ba2Cu(TeO6)	Sr2NiWO6	Iwanaga, D.; Inaguma, Y.; Itoh, M.	5.5903(1) 5.5903(1) 8.6426(3) 90 90 90	270.09	561.824	293.0	1999	-1	Ba	1.0	_	0.0	Cu	0.5	Te	0.5	O	3.0	5.5903	5.5903	8.6426	90	90	90	87	tetragonal	56	0	29	52	8	14.0	0.0	72.0	92.0	101.0	2.15	0.0	1.35	1.4	0.6	0.89	0.0	1.9	2.1	3.44	137.327	0.0	63.546	127.6	15.9994	38.16	0.0	7.11	20.46	17.36	18.0	0.0	400.0	3.0	0.02658	272.0	0.0	46.5	38.0	5.3	5.02	0.0	3.61	4.45	6.83	6	0	4	5	2	2	0	11	16	16	2.0	4.0	-2	1.49	0.7849999999999999	1.26	1.8980891719745225	1.1825396825396826	0.6230158730158729	0.7050000000000001	0.9508770896151616	34.661625	4.809999999999995	7.140000000000001	0.00030976676384839654	4.290000000000006	276.8069108280255	277.0527879176406	278.97572335782667	-0.5095408560943525	1.2645177434030939
24975	I 41/a c d S	Na2U(SiO6)		Shashkin, D.P.; Lur'e, E.A. (Lure, E.A.); Belov, N.V.	12.718(1) 12.718(1) 13.376(1) 90 90 90	2163.53	408.09	293.0	1974	10	Na	1.0	_	0.0	U	0.5	Si	0.5	O	3.0	12.718	12.718	13.376	90	90	90			11	0	92	14	8	11.0	0.0	45.0	85.0	101.0	1.8	0.0	1.75	1.1	0.6	0.93	0.0	1.38	1.9	3.44	22.98976928	0.0	238.02891	28.0855	15.9994	23.78	0.0	12.49	12.06	17.36	140.0	0.0	27.0	150.0	0.02658	162.7	0.0	129.0	37.3	5.3	4.23	0.0	2.85	5.43	6.83	3	0	9	3	2	1	0	6	14	16	1.0	5.0	-2	1.16	0.7050000000000001	1.26	1.6453900709219855	0.9206349206349206	0.5595238095238095	0.45499999999999985	0.8708388857361042	121.78800000000001	97.42	4.35	0.11134485349361381	102.04	164.509609929078	164.9254488148141	166.68398594687392	-0.5532760448715042	1.2812991618310765
1526	P b c a	(Co0.224Mg0.776)(SiO3)	Pyroxene#MgSiO3	Hawthorne, F.C.; Ito, J.	18.2330(70) 8.836(6) 5.188(3) 90 90 90	835.82	108.1479	293.0	1978		Co	0.224	Mg	0.776	Si	1.0	_	0.0	O	3.0	18.2330	8.836	5.188	90	90	90	61	orthorhombic	27	12	14	0	8	64.0	73.0	85.0	0.0	101.0	1.35	1.5	1.1	0.0	0.6	1.88	1.31	1.9	0.0	3.44	58.933195	24.305	28.0855	0.0	15.9994	6.67	14.0	12.06	0.0	17.36	100.0	160.0	150.0	0.0	0.02658	55.0	71.2	37.3	0.0	5.3	2.51	3.21	5.43	0.0	6.83	4	3	3	0	2	9	2	14	0	16	2.0	4.0	-2	0.8443200000000001	0.54	1.26	1.5635555555555556	0.6700952380952382	0.4285714285714286	0.30432000000000003	0.826654967659153	32.939625	15.279999999999998	5.33	5.14984130859375e-06	27.38	57.740764444444444	58.2630994121036	59.891207360061436	-0.6617153840993325	1.2748605555555557
1527	P b c a	(Mg0.925Mn0.075)(SiO3)	Pyroxene#MgSiO3	Hawthorne, F.C.; Ito, J.	18.2700(60) 8.833(6) 5.195(3) 90 90 90	838.36	102.6903	293.0	1978		Mg	0.925	Mn	0.075	Si	1.0	_	0.0	O	3.0	18.2700	8.833	5.195	90	90	90	61	orthorhombic	12	25	14	0	8	73.0	60.0	85.0	0.0	101.0	1.5	1.4	1.1	0.0	0.6	1.31	1.55	1.9	0.0	3.44	24.305	54.938045	28.0855	0.0	15.9994	14.0	7.35	12.06	0.0	17.36	160.0	7.8	150.0	0.0	0.02658	71.2	68.0	37.3	0.0	5.3	3.21	8.89	5.43	0.0	6.83	3	4	3	0	2	2	7	14	0	16	2.0	4.0	-2	0.85625	0.54	1.26	1.585648148148148	0.679563492063492	0.4285714285714286	0.3162499999999999	0.8313415142700172	32.025	7.799999999999997	3.91	3.855872622533205e-06	19.9	72.93060185185186	73.44569336612187	75.09120736006143	-0.6601865774930258	1.2830967782851344
9848	P b c a	(Mg1.78Fe.22)Si2O6	Pyroxene#MgSiO3	Schubert, G.	18.2380(80) 8.828(5) 5.184(5) 90 90 90	834.65	207.7248	293.0	1972		Mg	0.89	Fe	0.11	Si	1.0	_	0.0	O	3.0	18.2380	8.828	5.184	90	90	90	61	orthorhombic	12	26	14	0	8	73.0	61.0	85.0	0.0	101.0	1.5	1.4	1.1	0.0	0.6	1.31	1.83	1.9	0.0	3.44	24.305	55.845	28.0855	0.0	15.9994	14.0	7.09	12.06	0.0	17.36	160.0	80.0	150.0	0.0	0.02658	71.2	62.0	37.3	0.0	5.3	3.21	2.87	5.43	0.0	6.83	3	4	3	0	2	2	8	14	0	16	2.0	4.0	-2	0.8479	0.54	1.26	1.5701851851851851	0.6729365079365079	0.4285714285714286	0.30789999999999995	0.828061324479513	32.025	7.799999999999997	3.91	3.855872622533205e-06	19.9	72.93771481481481	73.45787613929433	75.09120736006143	-0.6626064702757892	1.2759838153221716
10114	C 1 2/c 1	(Fe1.5Ca0.5)(SiO3)2	Pyroxene#CaMg(SiO3)2	Ohashi, Y.; Burnham, C.W.; Finger, L.W.	9.781(2) 9.072(2) 5.246(2) 90 106.55(2) 90	446.21	255.981	293.0	1975		Fe	0.75	Ca	0.25	Si	1.0	_	0.0	O	3.0	9.781	9.072	5.246	90	106.55	90	15	monoclinic	26	20	14	0	8	61.0	16.0	85.0	0.0	101.0	1.4	1.8	1.1	0.0	0.6	1.83	1.0	1.9	0.0	3.44	55.845	40.078	28.0855	0.0	15.9994	7.09	26.2	12.06	0.0	17.36	80.0	200.0	150.0	0.0	0.02658	62.0	160.8	37.3	0.0	5.3	2.87	5.58	5.43	0.0	6.83	4	4	3	0	2	8	2	14	0	16	2.0	4.0	-2	0.8474999999999999	0.54	1.26	1.5694444444444442	0.6726190476190476	0.4285714285714286	0.3074999999999999	0.8279041896392493	32.656	14.809999999999997	5.33	6.167917138438899e-06	26.909999999999997	64.73805555555556	65.2584597451948	66.89120736006143	-0.6600273983605073	1.2783378870673952
10115	C 1 2/c 1	(Fe1.6Ca0.4)(SiO3)2	Pyroxene#CaMg(SiO3)2	Ohashi, Y.; Burnham, C.W.; Finger, L.W.	9.760(6) 9.057(8) 5.234(3) 90 106.47(5) 90	443.68	257.558	293.0	1975		Fe	0.8	Ca	0.2	Si	1.0	_	0.0	O	3.0	9.760	9.057	5.234	90	106.47	90	15	monoclinic	26	20	14	0	8	61.0	16.0	85.0	0.0	101.0	1.4	1.8	1.1	0.0	0.6	1.83	1.0	1.9	0.0	3.44	55.845	40.078	28.0855	0.0	15.9994	7.09	26.2	12.06	0.0	17.36	80.0	200.0	150.0	0.0	0.02658	62.0	160.8	37.3	0.0	5.3	2.87	5.58	5.43	0.0	6.83	4	4	3	0	2	8	2	14	0	16	2.0	4.0	-2	0.8280000000000001	0.54	1.26	1.5333333333333334	0.6571428571428571	0.4285714285714286	0.28800000000000003	0.8202438661763951	32.656	14.809999999999997	5.33	6.167917138438899e-06	26.909999999999997	64.75466666666667	65.28691053284307	66.89120736006143	-0.665649442642457	1.2617267759562842
10405	R -3 c H	(Mg0.1Ca0.9)CO3	Calcite#CaCO3(hR10)	Althoff, P.L.	4.941(2) 4.941(2) 16.8540(20) 90 90 120	356.34	98.51100000000001	293.0	1977		Mg	0.1	Ca	0.9	C	1.0	_	0.0	O	3.0	4.941	4.941	16.8540	90	90	120	167	trigonal	12	20	6	0	8	73.0	16.0	95.0	0.0	101.0	1.5	1.8	0.7	0.0	0.6	1.31	1.0	2.55	0.0	3.44	24.305	40.078	12.0107	0.0	15.9994	14.0	26.2	5.29	0.0	17.36	160.0	200.0	140.0	0.0	0.02658	71.2	160.8	11.3	0.0	5.3	3.21	5.58	3.57	0.0	6.83	3	4	2	0	2	2	2	14	0	16	2.0	4.0	-2	1.112	0.3	1.26	3.706666666666667	0.8825396825396826	0.23809523809523808	0.812	1.075164926265699	5.375	12.8	3.2600000000000002	3.855872622533205e-06	6.75	71.30533333333334	71.56849825959904	74.84421768723769	-0.4618885391164848	2.908365296803653
