	A1	A1_frac	A2	A2_frac	B1	B1_frac	B2	B2_frac	CrystalClass	All_phases	Multiple_phases	How_many_phases	StructuredFormula
0	Li	1.0	_	0.0	Sn	0.5	Te	0.5	orthorhombic	['orthorhombic']	0	1	Li2Sn(TeO6)
1	Cs	0.5	Ta	0.5	B	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(CsTa)B2O6
2	Ba	1.0	_	0.0	Cu	0.5	Te	0.5	tetragonal	['tetragonal']	0	1	Ba2Cu(TeO6)
3	Na	1.0	_	0.0	U	0.5	Si	0.5		[nan]	0	1	Na2U(SiO6)
4	Co	0.22399999999999998	Mg	0.7759999999999999	Si	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Co0.224Mg0.776)(SiO3)
5	Mg	0.925	Mn	0.075	Si	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Mg0.925Mn0.075)(SiO3)
6	Mg	0.89	Fe	0.11	Si	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Mg1.78Fe.22)Si2O6
7	Fe	0.75	Ca	0.25	Si	1.0	_	0.0	monoclinic	['monoclinic']	0	1	(Fe1.5Ca0.5)(SiO3)2
8	Fe	0.8	Ca	0.2	Si	1.0	_	0.0	monoclinic	['monoclinic']	0	1	(Fe1.6Ca0.4)(SiO3)2
9	Mg	0.1	Ca	0.9	C	1.0	_	0.0	trigonal	['trigonal']	0	1	(Mg0.1Ca0.9)CO3
10	Na	0.5	Sc	0.5	Si	1.0	_	0.0	monoclinic	['monoclinic']	0	1	(NaSc)(Si2O6)
11	Na	0.075	Li	0.925	V	1.0	_	0.0	monoclinic	['monoclinic']	0	1	(Na.15Li1.85)V2O6
12	Mg	0.985	Fe	0.015	Si	1.0	_	0.0	monoclinic	['monoclinic']	0	1	(Mg0.985Fe0.015)(SiO3)
14	Mg	0.9159999999999999	Ca	0.084	Si	1.0	_	0.0	monoclinic	['monoclinic']	0	1	Mg0.916Ca0.084(SiO3)
15	Mg	0.9440000000000001	Ca	0.055999999999999994	Si	1.0	_	0.0	monoclinic	['monoclinic']	0	1	Mg0.944Ca0.056(SiO3)
16	Mg	0.064	Ca	0.9359999999999999	C	1.0	_	0.0	trigonal	['trigonal']	0	1	(Mg.064Ca.936)(CO3)
17	Mg	0.129	Ca	0.871	C	1.0	_	0.0	trigonal	['trigonal']	0	1	(Mg.129Ca.871)(CO3)
18	Mg	0.7809999999999999	Fe	0.21899999999999997	Si	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Mg1.562Fe0.438)(Si2O6)
19	Mg	0.784	Fe	0.21600000000000003	Si	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Mg1.568Fe0.432)(Si2O6)
20	Mg	0.78	Fe	0.22	Si	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Mg1.561Fe0.439)(Si2O6)
21	Mg	0.23199999999999998	Fe	0.768	Si	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Mg0.463Fe1.537)(Si2O6)
22	Mg	0.233	Fe	0.767	Si	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Mg0.465Fe1.535)(Si2O6)
23	Mg	0.23399999999999999	Fe	0.7659999999999999	Si	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Mg0.468Fe1.532)(Si2O6)
24	Cu	0.9	Zn	0.1	Se	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Cu0.9Zn0.1)(SeO3)
25	Cu	0.8	Zn	0.2	Se	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Cu0.8Zn0.2)(SeO3)
26	Cu	0.7	Zn	0.3	Se	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Cu0.7Zn0.3)(SeO3)
27	Cu	0.6	Zn	0.4	Se	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Cu0.6Zn0.4)(SeO3)
28	Cu	0.5	Zn	0.5	Se	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Cu0.5Zn0.5)(SeO3)
29	Cu	0.4	Zn	0.6	Se	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Cu0.4Zn0.6)(SeO3)
30	Cu	0.3	Zn	0.7	Se	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Cu0.3Zn0.7)(SeO3)
31	Cu	0.2	Zn	0.8	Se	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Cu0.2Zn0.8)(SeO3)
32	Ba	1.0	_	0.0	Ir	0.35600000000000004	Mn	0.644	trigonal	['trigonal']	0	1	Ba9(Ir3.2Mn5.8)O27
33	Mg	0.03	Ca	0.97	C	1.0	_	0.0	trigonal	['trigonal']	0	1	(Mg0.03Ca0.97)(CO3)
34	Mg	0.06	Ca	0.94	C	1.0	_	0.0	trigonal	['trigonal']	0	1	(Mg0.06Ca0.94)(CO3)
36	Na	1.0	_	0.0	Ge	0.5	Te	0.5	trigonal	['trigonal']	0	1	Na2Ge(TeO6)
37	Na	1.0	_	0.0	Ti	0.5	Te	0.5	trigonal	['trigonal']	0	1	Na2Ti(TeO6)
38	Cu	1.0	_	0.0	Ge	0.76	Si	0.24	orthorhombic	['orthorhombic']	0	1	Cu(Ge0.76Si0.24)O3
39	Tb	0.25	Sc	0.75	B	1.0	_	0.0	trigonal	['trigonal']	0	1	(Tb0.25Sc0.75)(BO3)
40	Ca	0.075	Mg	0.925	Si	1.0	_	0.0	monoclinic	['monoclinic']	0	1	(Ca0.15Mg0.85)Mg(Si2O6)
48	Ca	0.115	Mg	0.885	Si	1.0	_	0.0	monoclinic	['monoclinic']	0	1	(Ca0.23Mg1.77)(Si2O6)
49	Pb	1.0	_	0.0	Mn	0.5	Re	0.5		[nan, 'monoclinic', 'cubic']	1	3	Pb2Mn(ReO6)
50	Ba	1.0	_	0.0	Ir	0.3	Mn	0.7	trigonal	['trigonal']	0	1	Ba(Ir0.3Mn0.7O3)
52	Ba	1.0	_	0.0	Ir	0.4	Mn	0.6	trigonal	['trigonal']	0	1	Ba(Ir0.4Mn0.6O3)
58	Ca	0.2	Mg	0.8	Si	1.0	_	0.0	monoclinic	['monoclinic']	0	1	(Ca0.40Mg1.60)(Si2O6)
59	Mg	0.965	Ca	0.035	Si	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Mg1.93Ca0.07)(Si2O6)
64	Mg	0.1	Cd	0.9	C	1.0	_	0.0	trigonal	['trigonal']	0	1	(Mg0.1Cd0.9)(CO3)
65	Mg	0.2	Cd	0.8	C	1.0	_	0.0	trigonal	['trigonal']	0	1	(Mg0.2Cd0.8)(CO3)
66	Mg	0.3	Cd	0.7	C	1.0	_	0.0	trigonal	['trigonal']	0	1	(Mg0.3Cd0.7)(CO3)
67	Mg	0.6	Cd	0.4	C	1.0	_	0.0	trigonal	['trigonal']	0	1	(Mg0.6Cd0.4)(CO3)
68	Mg	0.5	Cd	0.5	C	1.0	_	0.0	trigonal	['trigonal']	0	1	(Mg0.5Cd0.5)(CO3)
