SimulatedComposition	O p-band center (eV)	Predicted Log k* (cm/s)	Bandgap	Charge transfer gap (eV)	Ehull	Formation energy
"Ba7Zn1Co8O24
"	-1.491	-3.2343	0	0	"177.283020385
"	"-1.05687808221
"
"Ba7Zn1Fe8O24
"	-1.22	-2.3276	0	0.406	"150.371025947
"	"-1.29453936521
"
"Ba7Mn8Zn1O24
"	-1.58	-3.5321	0	0	"202.092457302
"	"-1.41625941548
"
"Ba7Zn1Ni8O24
"	-0.922	-1.3305	0	0.823	"325.497887744
"	"-0.613376457206
"
"Ba6Zn2Co8O24
"	-1.437	-3.0536	0	0	"249.549443408
"	"-0.922120841706
"
"Ba6Hf2Zn2Co6O24
"	-1.451	-3.1005	0	0	"245.647988608
"	"-1.35564614021
"
"Ba6Nb2Zn2Co6O24
"	-1.492	-3.2376	0	0	"210.375206344
"	"-1.31923077646
"
"Ba6Ta2Zn2Co6O24
"	-1.573	-3.5086	0	0	"200.268881441
"	"-1.37718262296
"
"Ba6Ti2Zn2Co6O24
"	-1.653	-3.7763	0	0.113	"222.927320658
"	"-1.31017594479
"
"Ba6Zr2Zn2Co6O24
"	-1.342	-2.7358	0	0	"218.800570608
"	"-1.34542763846
"
"Ba6Zn2Fe8O24
"	-1.177	-2.1837	0	0.184	"239.214774203
"	"-1.14795387471
"
"Ba6Hf2Zn2Fe6O24
"	-1.095	-1.9094	0	0	"229.790128281
"	"-1.53553135246
"
"Ba6Nb2Zn2Fe6O24
"	-1.225	-2.3443	0	0.66	"214.185752358
"	"-1.50580498871
"
"Ba6Ta2Zn2Fe6O24
"	-1.246	-2.4146	0	0.698	"182.129032917
"	"-1.56346583521
"
"Ba6Ti2Zn2Fe6O24
"	-1.166	-2.1469	0	0	"241.537702912
"	"-1.46894140704
"
"Ba6Zr2Zn2Fe6O24
"	-1.121	-1.9963	0	0.694	"296.501210281
"	"-1.43175435071
"
"Ba6Mn8Zn2O24
"	-1.259	-2.4581	0	0	"276.217368746
"	"-1.26685067498
"
"Ba6Hf2Mn6Zn2O24
"	-1.263	-2.4714	0	0	"219.470530781
"	"-1.65400445266
"
"Ba6Mn6Nb2Zn2O24
"	-1.617	-3.6559	0	0	"193.721693637
"	"-1.59926858891
"
"Ba6Ta2Mn6Zn2O24
"	-1.643	-3.7428	0	0	"193.037892012
"	"-1.65193943541
"
"Ba6Ti2Mn6Zn2O24
"	-1.697	-3.9235	0	0	"209.634412781
"	"-1.58982750725
"
"Ba6Zr2Mn6Zn2O24
"	-1.263	-2.4714	0	0	"201.402112781
"	"-1.63500695091
"
"Ba6Zn2Ni8O24
"	-0.901	-1.2603	0	0	"407.147186056
"	"-0.488125466706
"
"Ba6Hf2Zn2Ni6O24
"	-0.963	-1.4677	0	0.123	"396.883335407
"	"-1.01047404646
"
"Ba6Nb2Zn2Ni6O24
"	-0.969	-1.4878	0	1.351	"346.912901124
"	"-0.993676682706
"
"Ba6Ta2Zn2Ni6O24
"	-1.001	-1.5948	0	0	"340.489474124
"	"-1.06390527921
"
"Ba6Ti2Zn2Ni6O24
"	-1.024	-1.6718	0	1.145	"388.395179407
"	"-0.970351601039
"
"Ba6Zr2Zn2Ni6O24
"	-1.022	-1.6651	0	1.062	"344.799275407
"	"-1.02532729471
"
"Ba4La1Zn3Ni8O24
"	-1.479	-3.1941	0	0	"0
"	"-1.22132436714
"
"Ba4La1Zn3Co8O24
"	-1.671	-3.8365	0	0	"259.721126072
"	"-0.920564492143
"
"Ba4La1Zn3Fe8O24
"	-1.411	-2.9666	0	0.329	"253.584854873
"	"-1.15716677514
"
"Ba4La1Mn8Zn3O24
"	-1.609	-3.6291	0	0	"244.558933704
"	"-1.29683357542
"
"La7Zn1Co8O24
"	-2.571	-6.8478	0	0	"73.7475037184
"	"-1.65827281877
"
