A1	A2	B1	Mean_classification_prob
1.0	6.0	9	0.02602372416490296
1.0	6.0	10	0.0334300879277464
1.0	6.0	11	0.022165002160432885
1.0	6.0	19	0.02259491558148751
1.0	6.0	20	0.030074612647941236
1.0	6.0	21	0.03224655688193622
1.0	6.0	22	0.032725084978665595
1.0	6.0	27	0.022322604585392997
1.0	6.0	28	0.02115438789402321
1.0	6.0	29	0.02749911710656028
1.0	6.0	30	0.01863026147712777
1.0	6.0	31	0.009954251976465605
1.0	6.0	32	0.005687727290379608
1.0	6.0	44	0.011332235692125023
1.0	6.0	58	0.016629023711333197
1.0	6.0	59	0.022266237169149883
1.0	6.0	60	0.016623901505680442
1.0	43.0	9	0.05628110522025975
1.0	43.0	10	0.08943407815701165
1.0	43.0	11	0.04698849736385882
1.0	43.0	19	0.05894151453885535
1.0	43.0	20	0.060873165722906464
1.0	43.0	21	0.08987378902955799
1.0	43.0	22	0.07364771592868502
1.0	43.0	27	0.0570867190035864
1.0	43.0	28	0.047350681912496535
1.0	43.0	29	0.07275657537775804
1.0	43.0	30	0.044177921628096535
1.0	43.0	31	0.020520431044066516
1.0	43.0	32	0.014110075322159138
1.0	43.0	44	0.02551126284420669
1.0	43.0	58	0.044650999499641734
1.0	43.0	59	0.06178263738300065
1.0	43.0	60	0.04387129180973988
1.0	44.0	39	0.01031463781010819
1.0	44.0	8	0.06838155892456371
1.0	44.0	9	0.06792448493899518
1.0	44.0	10	0.11871564011704495
1.0	44.0	11	0.056911205285535275
1.0	44.0	13	0.13621029295727374
1.0	44.0	14	0.09304881246377937
1.0	44.0	40	0.025795224505030027
1.0	44.0	45	0.015780514014332
1.0	44.0	18	0.05183392857328293
1.0	44.0	19	0.06384932210966489
1.0	44.0	20	0.0599298122434165
1.0	44.0	21	0.08834075609567102
1.0	44.0	22	0.08077734563152363
1.0	44.0	23	0.018375103417627787
1.0	44.0	41	0.0409513718574956
1.0	44.0	46	0.01077212536138522
1.0	44.0	26	0.03640822280020947
1.0	44.0	27	0.05807721572110845
1.0	44.0	28	0.04276828101737644
1.0	44.0	29	0.07035839218510799
1.0	44.0	30	0.04259007354737559
1.0	44.0	31	0.01975058994678304
1.0	44.0	32	0.011722234970835065
1.0	44.0	42	0.017560103248949008
1.0	44.0	44	0.022820687441677114
1.0	44.0	48	0.049163685899298086
1.0	44.0	57	0.03646486919326459
1.0	44.0	58	0.04317934418690078
1.0	44.0	59	0.0623137256454003
