A1	B1	B2	Mean_classification_prob
12	1.0	39.0	0.013546657693403658
17	1.0	39.0	0.038392682055945586
34	1.0	39.0	0.28438120527022936
26	1.0	39.0	0.3533670464834053
37	1.0	39.0	0.4914576444630771
38	1.0	39.0	0.5827124113396279
39	1.0	39.0	0.6112519551472193
46	1.0	39.0	0.4532770879450092
22	1.0	8.0	0.005447812467812933
23	1.0	8.0	0.006158797284498889
24	1.0	8.0	0.00614346423392223
14	1.0	8.0	0.13635057754936025
17	1.0	8.0	0.02541222488780799
32	1.0	8.0	0.006899307364592239
34	1.0	8.0	0.8767659066301
20	1.0	8.0	0.009842101847016069
26	1.0	8.0	0.6889138922444735
30	1.0	8.0	0.8150417651825459
33	1.0	8.0	0.7065180992309161
35	1.0	8.0	0.9453633738885102
36	1.0	8.0	0.9487628812014688
37	1.0	8.0	0.9461913379653536
38	1.0	8.0	0.9494692587178524
39	1.0	8.0	0.9829114054737144
40	1.0	8.0	0.8648913879341806
41	1.0	8.0	0.8152881126010826
42	1.0	8.0	0.3696554726696285
43	1.0	8.0	0.200128117701752
44	1.0	8.0	0.1643078346770624
45	1.0	8.0	0.16199262515234236
46	1.0	8.0	0.6411912911461627
47	1.0	8.0	0.15273064598405195
6	1.0	9.0	0.013339884986991887
22	1.0	9.0	0.012425222398585794
7	1.0	9.0	0.03290544879304238
23	1.0	9.0	0.013374047878649976
8	1.0	9.0	0.9856514266748668
11	1.0	9.0	0.12046067818529192
13	1.0	9.0	0.04805646142592702
24	1.0	9.0	0.013348135902494793
31	1.0	9.0	0.01032979660264576
9	1.0	9.0	0.9893381347414326
14	1.0	9.0	0.2583513662086737
17	1.0	9.0	0.4332122614053913
18	1.0	9.0	0.8457959853994781
25	1.0	9.0	0.07027821291244271
32	1.0	9.0	0.01584760945260879
10	1.0	9.0	0.528635434580119
34	1.0	9.0	0.8591577736285815
21	1.0	9.0	0.8478419359770254
26	1.0	9.0	0.6540041803487274
30	1.0	9.0	0.918663358819018
33	1.0	9.0	0.836476224750203
35	1.0	9.0	0.95043954706294
36	1.0	9.0	0.9535761407617752
37	1.0	9.0	0.9577916251061094
38	1.0	9.0	0.9555200864538128
39	1.0	9.0	0.9846593438040168
40	1.0	9.0	0.9198292923899994
41	1.0	9.0	0.8922283518081431
42	1.0	9.0	0.5778363985241156
43	1.0	9.0	0.4829699588620889
44	1.0	9.0	0.5450559364813532
45	1.0	9.0	0.4564372216421343
46	1.0	9.0	0.4678812454792946
47	1.0	9.0	0.3443707795186756
6	1.0	10.0	0.014424883954612116
22	1.0	10.0	0.014053601823308169
2	1.0	10.0	0.4456933927160662
7	1.0	10.0	0.07527553444294402
23	1.0	10.0	0.016061768314873142
3	1.0	10.0	0.21436130556514293
8	1.0	10.0	0.9855867339405934
11	1.0	10.0	0.361006137697308
13	1.0	10.0	0.0407024021945502
24	1.0	10.0	0.016047213935226855
4	1.0	10.0	0.21449622554263006
9	1.0	10.0	0.87406014945501
14	1.0	10.0	0.7564799021695119
17	1.0	10.0	0.4134664337816098
18	1.0	10.0	0.8491759004864428
25	1.0	10.0	0.06779341453295941
5	1.0	10.0	0.20977227847871435
10	1.0	10.0	0.30964900464635314
34	1.0	10.0	0.9242166284934824
21	1.0	10.0	0.8328227942308958
26	1.0	10.0	0.3334917677294937
30	1.0	10.0	0.8989395749321429
33	1.0	10.0	0.8436526506889322
35	1.0	10.0	0.9774926135896128
36	1.0	10.0	0.9792765186994852
37	1.0	10.0	0.9818196473836504
38	1.0	10.0	0.9865115904076174
39	1.0	10.0	0.9901895253843008
40	1.0	10.0	0.9723136517869776
41	1.0	10.0	0.9670071170078992
42	1.0	10.0	0.8877559015218223
43	1.0	10.0	0.8267497618403246
44	1.0	10.0	0.8047485215716076
45	1.0	10.0	0.7429597365598727
46	1.0	10.0	0.5761695476781586
