A1Num	A2Num	B1Num	Mean_classification_prob
9	8	5	0.9948397025201909
9	8	22	0.99478996114552
9	23	22	0.9917969079199912
9	23	5	0.9882368325445
9	7	5	0.9881740126953982
9	16	5	0.9865913119342709
9	8	10	0.9857882626085848
9	7	1	0.9851474631392371
9	8	18	0.9837348603058348
9	16	1	0.9837101159101226
9	32	22	0.980722065881008
9	16	22	0.9805349381266092
9	33	22	0.9802201295991746
9	30	22	0.9792047411574843
9	31	22	0.979157921296798
9	39	22	0.9789565684132284
9	26	22	0.9788600466246352
9	27	22	0.9787756667003308
9	29	22	0.9787697680652546
9	23	10	0.972635225945014
9	16	10	0.9677941857368604
9	16	7	0.9664404340187888
9	15	1	0.9653943701279488
9	7	10	0.9629299848008388
9	15	5	0.9628883977892024
9	34	22	0.9618502715531241
9	35	22	0.9614720825346978
9	36	22	0.9609457260612736
9	37	22	0.9587238821196189
9	38	22	0.9580671126593612
9	8	7	0.9568708201062066
9	23	18	0.9562884579224408
9	40	22	0.95573117981528
9	7	22	0.9530849923411554
9	12	1	0.9525431644372976
9	16	18	0.9511998091296928
9	8	23	0.9507841433044888
9	21	22	0.9498510946732112
9	23	23	0.9479515337759372
9	12	3	0.9472697099609392
9	8	1	0.9433712266136456
9	16	12	0.9419140151228272
9	7	7	0.9256850332942872
9	6	1	0.9093598184892202
9	15	7	0.903954646863684
9	23	1	0.9031583267073604
9	23	7	0.902746287488162
9	8	6	0.9021648897832324
9	16	23	0.9013082475312112
9	15	3	0.8959018829684766
9	13	22	0.8938818443158522
9	12	7	0.8915085833027105
9	8	12	0.8904372381474651
9	14	3	0.8899907241944258
9	15	10	0.8872211666695431
9	6	3	0.8860303239050448
9	12	5	0.8838595174317141
9	15	12	0.8713951106214468
9	7	12	0.8692804160231351
9	15	18	0.8634482442842679
9	16	6	0.8627550990479503
9	6	7	0.8345472658642266
9	6	5	0.8344516105139449
9	15	22	0.8342486636273457
9	7	18	0.829928114490592
9	7	23	0.8279307389808969
9	12	10	0.8276115832377171
9	12	12	0.8256380926118125
9	8	19	0.8211923897277126
9	12	18	0.8194248231891664
9	1	3	0.7931969026071645
9	13	8	0.7810870865099013
9	20	22	0.7739921322342921
9	23	12	0.7709754005865121
9	10	22	0.7612096086459975
9	6	12	0.7392433367597857
9	25	22	0.7270782578811427
9	22	10	0.7269943106005813
9	15	6	0.7238834415032933
9	6	18	0.7159371503979459
9	7	6	0.7073923259607356
9	30	8	0.7021372599353767
9	39	8	0.7005082591795019
9	20	8	0.6987731069571202
9	25	8	0.6940620350620789
9	29	8	0.6933804843890594
9	33	8	0.6933579676775361
9	32	8	0.6927233531786168
9	31	8	0.6916376866066343
9	27	8	0.6915567986465452
9	23	6	0.6902656524956058
9	6	10	0.6900863946479957
9	28	8	0.686984471798953
9	15	23	0.6838175616482673
9	26	8	0.6799664275391926
9	8	21	0.6781693623900273
9	15	8	0.6754993324512644
9	8	11	0.6680998898785387
9	16	19	0.6675877877643879
9	30	14	0.6644444971638502
9	39	14	0.6613061188715882
9	29	14	0.6571427095373071
9	27	14	0.6569580808290234
9	33	14	0.6537630916053645
9	12	22	0.6523934413032794
9	28	14	0.6506517221840259
9	31	14	0.650109827097827
9	6	22	0.6493481354263595
9	12	6	0.6490522337016772
9	26	14	0.6455033087985901
9	34	8	0.6399957337887276
9	38	8	0.6392102458789961
9	36	8	0.6391286613985852
9	35	8	0.6386783571753335
9	40	8	0.6368660295280586
9	37	8	0.6367403062326712
9	6	6	0.6092898873842334
9	16	11	0.6086804582854561
9	16	13	0.6067600778767419
9	15	11	0.6015844229671659
9	34	14	0.5995724956953624
9	38	14	0.5983695488290529
9	36	14	0.5980683610864347
9	35	14	0.5971975918077207
9	37	14	0.5949991894666311
9	40	14	0.5949825410926673
9	7	8	0.5771607139455289
9	19	8	0.5746626944087511
9	16	14	0.5443015768031733
9	10	8	0.541857710361124
9	24	22	0.5418104463108792
9	19	22	0.5357767790253147
9	18	22	0.5344731157526749
9	6	8	0.5142246427594057
9	12	8	0.5140078257371812
9	16	9	0.5032578988078956
9	12	23	0.5021699596028832
9	8	8	0.4953318812933459
9	23	21	0.4908198521822441
9	23	15	0.4856520446351325
9	8	13	0.4748762529434321
9	7	3	0.4747709764946792
9	16	21	0.4585164503191778
9	6	11	0.4543092647131944
9	15	13	0.4522570280695881
9	16	8	0.4441362767296292
9	12	11	0.4403542339533354
9	18	8	0.4293724371187315
9	22	23	0.42693713301841896
9	6	23	0.41958618970670253
9	23	11	0.41319660177754985
9	16	2	0.385126533014849
9	8	14	0.3810678873080277
9	13	14	0.3786485444239753
9	15	14	0.3756855711516269
9	20	14	0.3725166733720826
9	8	9	0.3713035792242029
9	25	14	0.36674046255974624
9	16	3	0.3577543934212724
9	15	9	0.3526054131082205
9	12	17	0.34572120145128143
9	5	3	0.33362964139179163
9	7	11	0.3268036498922408
9	12	13	0.2939757156942768
9	15	19	0.2841426954609701
9	6	13	0.2773234854376222
9	11	17	0.2724714785536724
9	24	14	0.2681494866271477
9	15	17	0.26268177216137645
9	14	2	0.2619797412545313
9	6	17	0.2546492399022323
9	5	7	0.2534567972597325
9	7	9	0.24982607805271936
9	5	1	0.2497331897331336
9	19	14	0.247181532635296
9	8	3	0.2378649604451992
9	4	3	0.23535404768827256
9	5	12	0.2337677192473691
9	10	14	0.2279278525422581
9	2	3	0.22559694796202015
9	5	5	0.22242326077935767
9	3	3	0.21998942612979794
9	12	14	0.2165625765190188
9	1	2	0.21559555705945688
9	7	13	0.21297708589235
9	6	14	0.21019059307133733
9	5	8	0.2070535919420473
9	7	19	0.2032417639881938
9	23	3	0.19753456946076986
9	12	9	0.19459519076094306
9	21	3	0.1844302186897558
9	6	9	0.17964803128085186
9	23	9	0.17560185876838885
9	23	13	0.17062705063768985
9	5	6	0.1648633065855542
9	15	21	0.1456052475935653
9	7	14	0.1435191598953484
9	5	10	0.14310194074617272
9	18	14	0.14301044341480376
9	22	20	0.1384086912916032
9	5	13	0.1375028382367121
9	22	21	0.12658026476929654
9	32	14	0.1259964634266754
9	17	8	0.1259277028509211
9	5	22	0.12296844825403595
9	5	18	0.1209887604180553
9	5	11	0.11987234006122595
9	12	20	0.11298312029069102
9	5	17	0.10811154252644466
9	11	21	0.10145463452643973
9	12	19	0.10128073145243104
9	23	8	0.10127213676502483
9	6	20	0.10074346503515974
9	23	14	0.09433172934527627
9	5	23	0.0926641869841268
9	6	19	0.09096467749850908
9	7	21	0.08688242655160057
9	22	16	0.08338033061506687
9	16	17	0.07330006720560805
9	12	21	0.07202760644464103
9	23	2	0.07007405728224826
9	2	2	0.06734370699161599
9	4	2	0.06706318357742487
9	17	22	0.060818806964247775
9	3	2	0.05989430189939635
9	6	21	0.05933285980599114
9	12	16	0.055595895701283406
9	5	14	0.05352345254575502
9	15	20	0.04915698468585146
9	8	17	0.04697799012931756
9	21	2	0.04576941632807605
9	5	9	0.045109537873372026
9	5	20	0.044889932689100284
9	5	19	0.044752097791544924
9	17	14	0.0423885598688671
9	11	20	0.03538513987626337
9	6	16	0.031576422106054006
9	5	16	0.028131358783500468
9	23	17	0.02801164101320383
9	7	17	0.026999026517785144
9	5	21	0.024986292951533616
9	8	20	0.022128536203573662
9	23	4	0.018998747001207676
9	15	16	0.01412611580171884
9	8	16	0.014016242560085252
9	23	16	0.011398006660947521
9	7	16	0.010842471431544957
9	7	20	0.010814616513043085
9	16	16	0.010340828591679629
9	23	20	0.009318583729776323
9	16	20	0.008479049048138166
9	21	8	0.00790326793721512
9	21	14	0.0077172801238259035
