A1Num	A2Num	B1Num	Mean_classification_prob
7	9	5	0.9881740126953982
7	8	5	0.9857087087723476
7	9	1	0.9851474631392371
7	8	1	0.9833921538729952
7	23	5	0.9699146559214918
7	9	10	0.9629299848008388
7	23	1	0.96248918591497
7	8	10	0.9564231701388894
7	16	1	0.9536750756916416
7	9	22	0.9530849923411554
7	8	3	0.947002181350016
7	14	3	0.9448097592636248
7	23	2	0.9377125649620928
7	15	1	0.9367858246067908
7	16	2	0.9333122732813466
7	8	22	0.9320219411699772
7	16	3	0.9287533251431812
7	15	3	0.926206539869132
7	9	7	0.9256850332942872
7	1	3	0.9230077335467122
7	23	10	0.9220412257027306
7	8	7	0.9116328583626012
7	16	5	0.9080436436958608
7	32	22	0.9054079346430476
7	27	22	0.9052938765650781
7	23	3	0.9030682434801828
7	33	22	0.9020963565454768
7	30	22	0.9019792284311384
7	29	22	0.9010919626401394
7	31	22	0.9006323916692558
7	26	22	0.897606964641688
7	23	22	0.8888434743254578
7	39	22	0.8758406469228865
7	9	12	0.8692804160231351
7	14	2	0.8676529027191131
7	23	7	0.8511441091360384
7	15	5	0.8484905988103413
7	8	12	0.8440408084136345
7	1	2	0.8358982165318547
7	9	18	0.829928114490592
7	9	23	0.8279307389808969
7	16	7	0.815405153476802
7	16	10	0.814362657144178
7	34	22	0.8067395987590219
7	35	22	0.8063142278715953
7	16	22	0.8015562502746617
7	36	22	0.8014213020014597
7	8	18	0.7995138993422185
7	38	22	0.7992838923967193
7	37	22	0.7926261094772598
7	8	23	0.7766113296721506
7	23	12	0.7751873012609584
7	23	18	0.7615378189564522
7	21	22	0.7574175046099225
7	15	10	0.7455376248151072
7	16	12	0.7399751349323703
7	13	22	0.729159116532521
7	40	22	0.7190586770305895
7	15	22	0.7151012668447655
7	9	6	0.7073923259607356
7	23	23	0.6937473055553691
7	3	3	0.6726576564979159
7	15	7	0.670297784542086
7	8	6	0.6656466436756243
7	15	12	0.6618177637859942
7	16	18	0.6400289596164438
7	27	8	0.6257530252993896
7	21	3	0.6213586840837729
7	29	8	0.6211884256865431
7	28	8	0.6099270965568624
7	16	23	0.6070652349992854
7	30	8	0.596630306800742
7	23	6	0.5950939546950563
7	26	8	0.5941837426379621
7	2	3	0.5797745852142842
7	9	8	0.5771607139455289
7	23	4	0.5764576564824359
7	15	23	0.5434909567763334
7	16	6	0.5429832198531112
7	8	8	0.5338721765821297
7	15	18	0.5330605441897283
7	32	8	0.5264546003130858
7	31	8	0.5246632268988758
7	33	8	0.5081656170141853
7	39	8	0.4845356108804296
7	9	3	0.4747709764946792
7	23	8	0.4701990537947475
7	16	8	0.4203080115045725
7	34	8	0.40122107705771504
7	4	3	0.3981442317014215
7	15	6	0.3905419990652784
7	35	8	0.3901638807013903
7	36	8	0.3807052879465347
7	38	8	0.3692800328058775
7	37	8	0.3629931374480879
7	15	8	0.3531887185044381
7	40	8	0.3496343783063069
7	9	11	0.3268036498922408
7	13	8	0.2987645576613304
7	8	11	0.2773668614406294
7	9	9	0.24982607805271936
7	23	11	0.2295748796979794
7	9	13	0.21297708589235
7	8	9	0.2073089193010505
7	21	8	0.2070850656205824
7	9	19	0.2032417639881938
