A1Num	A2Num	B1Num	Mean_classification_prob
2	45	5	0.99345062088102
2	36	5	0.9931149991414744
2	35	5	0.9930862751489974
2	34	5	0.9930682991829559
2	38	5	0.9928471156981472
2	37	5	0.9927988478482712
2	39	5	0.9927149745464412
2	33	25	0.9913628774910204
2	33	5	0.9910131807902338
2	32	25	0.990904862422782
2	32	5	0.9905562821152392
2	35	25	0.987862427335096
2	36	25	0.9877464700802246
2	45	1	0.9867134680860178
2	41	5	0.9867114289263555
2	42	5	0.9864726553320241
2	44	5	0.9862852547070308
2	43	5	0.9861823589923534
2	46	5	0.9861528338985178
2	37	25	0.9859517262838676
2	38	25	0.9853852218410566
2	40	5	0.9850515354373072
2	39	25	0.9849911525657816
2	25	5	0.9842686763362241
2	45	11	0.9841119031121834
2	13	5	0.9837372413395852
2	36	11	0.9831820790871476
2	38	11	0.9828653327673648
2	37	11	0.9828049749800962
2	24	5	0.9826269248143132
2	39	11	0.9822741830423252
2	45	25	0.9814573940765624
2	33	11	0.9801671553165072
2	35	11	0.9800715561164984
2	34	11	0.9800383136129732
2	36	1	0.9800276547541271
2	35	1	0.9799999409977532
2	34	1	0.9798697247988848
2	37	1	0.9795579545175238
2	38	1	0.979519752743494
2	23	1	0.9793153597007508
2	32	11	0.9791203943259041
2	30	1	0.9790095693594404
2	31	5	0.9789371442252894
2	39	1	0.9767755473260684
2	33	1	0.9761625541608392
2	10	5	0.9761179338696192
2	32	1	0.9755071879972864
2	46	1	0.9752006212514344
2	31	1	0.9745001503927684
2	40	25	0.9724267754632372
2	41	25	0.9722027525318664
2	42	25	0.9720434264507134
2	10	1	0.97140101711749
2	24	1	0.9714000496412964
2	43	25	0.971311088147904
2	27	4	0.9700765020594948
2	46	11	0.9698588136936596
2	44	11	0.9697933554078944
2	43	11	0.968933047707746
2	40	11	0.968714416333586
2	43	1	0.9685857880112956
2	44	25	0.9684436079660332
2	41	11	0.9680556522308748
2	42	11	0.9667870145795098
2	20	28	0.9664069236006196
2	44	1	0.9655685243520378
2	33	26	0.9653030115415684
2	32	26	0.9650537566542441
2	23	5	0.964523556438432
2	25	25	0.9642685047537622
2	25	11	0.9641396899508324
2	46	25	0.9640606513270692
2	25	1	0.9637676223514178
2	13	25	0.9630075799220869
2	31	11	0.9627826921507312
2	42	1	0.9620754817235618
2	24	11	0.9614190022004578
2	41	1	0.9612670869129052
2	27	3	0.9611462199331656
2	20	6	0.9610320048549312
2	13	11	0.9607814730136102
2	20	27	0.9605758775660076
2	45	20	0.9600778742624572
2	39	20	0.9596082699728892
2	40	1	0.9590856843369886
2	16	27	0.958467722446446
2	30	5	0.9578776547177498
2	35	26	0.9575055361136836
2	34	26	0.957470834934472
2	38	26	0.957421541392796
2	36	26	0.957350050622908
2	39	26	0.9565208654216218
2	45	8	0.9562788955066268
2	37	26	0.9562679965514428
2	12	4	0.95530269629527
2	13	1	0.9545037134085628
2	10	11	0.9533112182152608
2	45	26	0.952849679755856
2	24	25	0.9497076548622804
2	31	8	0.9488111830488004
2	38	20	0.9486808426720852
2	23	4	0.948307958114926
2	20	12	0.947473948588098
2	10	25	0.9459901254092612
2	38	8	0.9456453909762956
2	39	8	0.9435539074560126
2	37	8	0.9432968702448764
2	40	20	0.9428432677573012
2	24	8	0.9422973381800436
2	29	25	0.9422702292614681
2	16	28	0.9421513562926846
2	23	8	0.9418421350028297
2	41	20	0.9410989248573296
2	36	20	0.9401686157111828
2	42	20	0.9388392405937638
2	44	20	0.9385745199337816
2	10	8	0.9381074879262256
2	43	20	0.9377278140458616
2	46	20	0.9372771081239721
2	37	20	0.9363054666465496
2	31	20	0.9327075157224368
2	23	11	0.931983834829356
2	30	11	0.9318885882716136
2	25	20	0.930394127242214
2	28	3	0.9289633877499772
2	40	26	0.9286598501152464
2	31	14	0.9286518728484572
2	41	26	0.9284551462025954
2	13	20	0.9277038678825988
2	42	26	0.926579388637377
2	23	25	0.9261116155314226
2	46	8	0.925880138143402
2	24	20	0.9241484253646792
2	44	8	0.9231563606140823
2	35	20	0.9226397182041828
2	16	6	0.9223240831809852
2	44	26	0.9220841557420428
2	23	14	0.9213744902475643
2	36	8	0.9213731205140724
2	43	26	0.9212046492188536
2	33	8	0.9207697161004796
2	45	14	0.9205790747619296
2	40	8	0.9202740241305568
2	35	8	0.9202130269765838
2	42	8	0.919798874065066
2	34	20	0.9193871230149208
2	10	20	0.9191842246995576
2	41	8	0.9182222480724656
2	43	8	0.9181986943416938
2	34	8	0.91662640386306
2	33	20	0.9159931018610478
2	1	6	0.9158863596366608
2	46	26	0.915740508111268
2	10	14	0.9153662989002892
2	32	8	0.9126256761588908
2	6	4	0.911013915942505
2	25	26	0.9102445816070848
2	32	20	0.9082683495787528
2	18	25	0.9079915285092768
2	13	8	0.90798295581694
2	13	26	0.9077215517137872
2	16	12	0.9030036169754307
2	24	14	0.8973969384511065
2	41	14	0.8943177899125448
2	22	1	0.8932279319102401
2	42	14	0.8907569354040429
2	46	14	0.8907404440943074
2	14	25	0.8890609427763172
2	43	14	0.8881195498200631
2	44	14	0.8878693109934072
2	40	14	0.8862576476189592
2	36	14	0.8852750414379741
2	28	25	0.8850737874123518
2	35	14	0.8849130833730033
2	33	14	0.8837945787293102
2	1	12	0.8812874660313805
2	37	14	0.8809693690833992
2	34	14	0.8806370139072592
2	39	14	0.8791768315583299
2	38	14	0.8790939714932692
