A1Num	A2Num	B1Num	Mean_classification_prob
6	3	3	0.9224498791879872
6	2	3	0.911013915942505
6	9	1	0.9093598184892202
6	4	3	0.8985269531143875
6	9	3	0.8860303239050448
6	8	1	0.8762035989684881
6	8	3	0.8581657002684399
6	2	2	0.8578236722966907
6	3	2	0.8361234757567049
6	9	7	0.8345472658642266
6	9	5	0.8344516105139449
6	21	3	0.8077751562850446
6	23	1	0.8053029535147843
6	23	2	0.7578740960886416
6	23	3	0.7501514758842105
6	9	12	0.7392433367597857
6	9	18	0.7159371503979459
6	14	3	0.7030984413459329
6	9	10	0.6900863946479957
6	8	5	0.6864940801408358
6	21	2	0.6789864731584511
6	8	7	0.6601590791351083
6	9	22	0.6493481354263595
6	14	2	0.6416116902476852
6	9	6	0.6092898873842334
6	23	7	0.5895277660802271
6	8	12	0.5756732039987039
6	4	2	0.5659103292116059
6	23	5	0.556958668235219
6	8	10	0.5240188055787491
6	23	4	0.5150394407245031
6	9	8	0.5142246427594057
6	8	18	0.5109164127089674
6	8	22	0.4938914950622523
6	23	12	0.4845813305922593
6	23	18	0.4775445564605891
6	9	11	0.4543092647131944
6	8	6	0.4334494946354869
6	9	23	0.41958618970670253
6	21	8	0.3957158321083885
6	23	10	0.3930023179194635
6	23	6	0.3769362465710235
6	8	8	0.3764877084186944
6	23	8	0.36169564315486497
6	23	22	0.3613641544407208
6	8	23	0.35698956456170405
6	8	11	0.3027197630345527
6	9	13	0.2773234854376222
6	23	11	0.2620902679146219
6	9	17	0.2546492399022323
6	23	23	0.24821673448227916
6	8	17	0.21750353604510206
6	9	14	0.21019059307133733
6	1	2	0.20903250236068216
6	23	17	0.20185443855779414
6	27	8	0.18534263950971866
6	9	9	0.17964803128085186
6	29	8	0.16957410168451478
6	8	13	0.16773953698775293
6	21	14	0.16400977119816135
6	28	8	0.16344216633974476
6	32	14	0.16232466777752194
6	26	8	0.1580299578480546
6	30	8	0.14864489688843002
6	7	3	0.1408650950641875
6	31	8	0.14045208808710016
6	23	9	0.1364988053079513
6	23	13	0.13566159407635492
6	16	2	0.12908281588925238
6	8	9	0.12667975071915025
6	32	8	0.12566399421715366
