A1Num	A2Num	B1Num	Mean_classification_prob
8	9	5	0.9948397025201909
8	9	22	0.99478996114552
8	23	5	0.990397892560422
8	16	5	0.988306855177822
8	16	1	0.9868764746716684
8	9	10	0.9857882626085848
8	7	5	0.9857087087723476
8	23	1	0.9852650222556216
8	15	1	0.984916296254856
8	9	18	0.9837348603058348
8	7	1	0.9833921538729952
8	23	7	0.9832156922181179
8	15	5	0.9831742635855502
8	16	7	0.9806973809526486
8	23	22	0.9804761484277628
8	16	2	0.9789560446672256
8	15	7	0.977775837673886
8	23	18	0.9761725161453308
8	15	3	0.9757835450631858
8	23	10	0.9737383690207518
8	26	22	0.9726047052302744
8	27	22	0.9724418788092356
8	16	18	0.9718656656432614
8	23	12	0.9713242544736724
8	14	3	0.9705889308858892
8	29	22	0.9689434408997888
8	16	10	0.9688138939121128
8	30	22	0.9684192728596436
8	15	18	0.9676869766333144
8	16	12	0.9658412044619704
8	31	22	0.9655101036429348
8	32	22	0.964881931110622
8	16	22	0.9621501628714428
8	33	22	0.9618502252867244
8	15	12	0.9617179373543092
8	15	10	0.9607774522912148
8	9	7	0.9568708201062066
8	7	10	0.9564231701388894
8	39	22	0.9547185976350367
8	23	6	0.9524886903633374
8	15	22	0.9515516951262248
8	9	23	0.9507841433044888
8	7	3	0.947002181350016
8	16	6	0.9456172620665296
8	9	1	0.9433712266136456
8	15	6	0.9395926834038631
8	12	1	0.9342040409502818
8	30	8	0.9333527855490288
8	29	8	0.93334587086623
8	39	8	0.9333255663792448
8	27	8	0.9332761235321012
8	28	8	0.932518743994654
8	32	8	0.9321536463721584
8	7	22	0.9320219411699772
8	33	8	0.9317408710736732
8	31	8	0.9316969908210896
8	26	8	0.93059734960062
8	12	3	0.927622373554526
8	1	3	0.9237369867145141
8	34	22	0.9214540779990332
8	35	22	0.9185878771034698
8	34	8	0.91741470407627
8	40	22	0.9166505375652916
8	35	8	0.9162690182591776
8	36	8	0.9157718103480924
8	38	8	0.9151309359109268
8	40	8	0.9148414004143204
8	37	8	0.9147218503629236
8	23	23	0.9133400243828576
8	36	22	0.91267391026014
8	16	3	0.9123768511519722
8	38	22	0.9118742307801564
8	7	7	0.9116328583626012
8	37	22	0.9109386925651772
8	23	8	0.9061560265276088
8	13	8	0.904015984674076
8	9	6	0.9021648897832324
8	16	8	0.8999477654991443
8	21	22	0.8962025211478672
8	15	8	0.8926400384652317
8	9	12	0.8904372381474651
8	25	22	0.8901509258708938
8	20	8	0.8871180449275823
8	13	22	0.8845697704540734
8	25	8	0.8781440198905542
8	16	23	0.878034842739669
8	20	22	0.8775059629617863
8	6	1	0.8762035989684881
8	6	3	0.8581657002684399
8	7	12	0.8440408084136345
8	15	23	0.836810281202504
8	9	19	0.8211923897277126
8	30	14	0.8048657072444576
8	29	14	0.8044779879678974
8	27	14	0.8040916236982057
8	28	14	0.8015399599719123
8	39	14	0.8008814429852005
8	33	14	0.8005160739831675
8	31	14	0.7999477858913798
8	7	18	0.7995138993422185
8	26	14	0.7969271928031516
8	23	11	0.7863597731914678
8	32	14	0.7820235896885542
8	7	23	0.7766113296721506
8	23	13	0.7719355373422636
8	23	9	0.7692509973699352
8	12	7	0.7632054093625136
8	15	17	0.7627766652703197
8	34	14	0.7612831741153318
8	16	11	0.7612295555958679
8	35	14	0.7591324045814386
8	36	14	0.7565687625704605
8	16	13	0.7553343532705604
8	38	14	0.7549032937921616
8	37	14	0.754036413463922
8	16	9	0.7537203733602551
8	40	14	0.7526618075748508
8	12	5	0.7486097149196863
8	23	14	0.7409147152078561
8	15	11	0.7397722196767167
8	15	13	0.7390758129305559
8	15	9	0.7374282362036179
8	13	14	0.7273048084990344
8	16	14	0.7213999366702056
8	10	22	0.7193897030029102
8	16	19	0.7074950197818214
8	15	14	0.7037954611550568
8	23	15	0.6976599607654174
8	20	14	0.6932093567524548
8	12	12	0.6889246145092283
8	6	5	0.6864940801408358
8	9	21	0.6781693623900273
8	25	14	0.6767103269235807
8	9	11	0.6680998898785387
8	7	6	0.6656466436756243
8	6	7	0.6601590791351083
8	15	19	0.6581504936395488
8	12	18	0.6200006947974352
8	12	10	0.6137352285919352
8	23	2	0.6070525017321109
8	23	21	0.6007319181526394
8	6	12	0.5756732039987039
8	16	21	0.5392185033309386
8	7	8	0.5338721765821297
8	22	10	0.525268488567885
8	6	10	0.5240188055787491
8	16	17	0.514416102924502
8	6	18	0.5109164127089674
8	9	8	0.4953318812933459
8	6	22	0.4938914950622523
8	12	22	0.4820760811105141
8	9	13	0.4748762529434321
8	12	6	0.4668759129808553
8	15	21	0.4417651244625444
8	12	23	0.4346578473777445
8	6	6	0.4334494946354869
8	12	8	0.42562205909469264
8	23	3	0.4084830943428163
8	9	14	0.3810678873080277
8	10	8	0.3772375437571413
8	6	8	0.3764877084186944
8	9	9	0.3713035792242029
8	22	23	0.361765196633585
8	6	23	0.35698956456170405
8	1	2	0.3461440771610725
8	6	11	0.3027197630345527
8	4	3	0.2884701847986636
8	7	11	0.2773668614406294
8	12	11	0.2753682478774748
8	12	17	0.27429722675759743
8	11	17	0.2643651570912557
8	14	2	0.24164168890488244
8	9	3	0.2378649604451992
8	2	3	0.237687760621486
8	15	20	0.22124916247131285
8	21	3	0.218781571138322
8	6	17	0.21750353604510206
8	3	3	0.21037557551697195
8	7	9	0.2073089193010505
8	12	13	0.1818834333831338
8	7	17	0.17681634124135626
8	21	8	0.17555746661429786
8	6	13	0.16773953698775293
8	7	13	0.16666047505032666
8	19	8	0.16413570219861232
8	12	9	0.1490500362388104
8	12	14	0.14221431362759776
8	16	20	0.14194327385192687
8	6	9	0.12667975071915025
8	5	7	0.12493873608927948
8	7	19	0.1247293502016614
8	23	4	0.11970153493796548
8	23	17	0.1186571349133902
8	22	16	0.11687220240068084
8	10	14	0.11427986303134435
8	6	14	0.11418356204466315
8	7	14	0.10902528923433467
8	18	8	0.10481822226790484
8	22	20	0.10081523576963283
8	6	20	0.09897407861680003
8	22	21	0.09741801035355926
8	4	2	0.09606237790553122
8	5	1	0.09493605458759738
8	5	3	0.08964044692188912
8	5	8	0.08727313044223896
8	6	19	0.08234404026675307
8	5	12	0.08231341066511749
8	11	20	0.0812101835362202
8	19	22	0.07985411914974212
8	5	6	0.0784165185990065
8	12	20	0.07732069239620054
8	12	19	0.07705499425165878
8	12	16	0.07540555865853328
8	21	14	0.07401385561365256
8	2	2	0.06714587488376925
8	17	8	0.06649004662436024
8	24	22	0.06152299904861329
8	11	21	0.060946191627511276
8	21	2	0.060155314191163475
8	3	2	0.05981567872288295
8	7	21	0.05634638688201475
8	5	13	0.05175037021886267
8	12	21	0.05008382608708916
8	5	5	0.04879419518646419
8	9	17	0.04697799012931756
8	5	11	0.04525051514946861
8	6	21	0.04200875047078341
8	17	22	0.04196725993720734
8	18	22	0.041495015181836334
8	5	22	0.04103498791988642
8	6	16	0.04085467893147073
8	5	18	0.03638790018540152
8	5	17	0.035821602343137096
8	19	14	0.03252060423839718
8	24	14	0.031236355893838507
8	5	23	0.029698210827347662
8	5	10	0.02964488243490892
8	17	14	0.025129728034834698
8	5	14	0.02467272140144082
8	5	9	0.02343088170872688
8	18	14	0.023357566739339898
8	9	20	0.022128536203573662
8	7	20	0.02126969144318442
8	5	20	0.019794061635148824
8	5	16	0.019311833689134757
8	23	20	0.018180013715251832
8	5	19	0.016871451066861474
8	23	16	0.015288622841056048
8	9	16	0.014016242560085252
8	16	16	0.013752973747464821
8	15	16	0.013729592607646732
8	5	21	0.010679163017009745
8	7	16	0.010248405631555976
