A1Num	B1Num	B2Num	Mean_classification_prob
9	15	8	0.994806455208708
10	15	32	0.9945887061406852
9	15	1	0.9945741418878586
9	15	32	0.9938453960913756
10	15	8	0.993470045270614
9	15	6	0.9906485993196206
9	15	4	0.9903455048342128
9	15	22	0.9903069060202888
9	15	21	0.9895429662849946
10	15	39	0.9873703380976668
10	15	23	0.9863267899165924
9	15	16	0.9859611557782936
9	15	23	0.9859599857408712
10	15	38	0.9845477787034804
10	15	36	0.9839980449535228
10	15	37	0.9836831848837216
9	15	37	0.9835747416378888
9	15	36	0.9834792939022308
9	15	39	0.9834697244700504
9	15	38	0.9834506200023584
10	15	33	0.9830136556994332
9	15	17	0.9810968612285896
9	15	34	0.9810239265385222
10	15	34	0.9806555870599324
10	15	35	0.9802379796218396
9	15	35	0.9799177470826412
9	15	33	0.9781375736718247
9	15	41	0.9772738724535652
10	15	40	0.9753729558382628
8	15	6	0.9737932600206288
9	15	40	0.973574709733114
8	15	4	0.97084392926171
9	15	7	0.9707592275292264
10	15	17	0.9703200254043604
8	15	1	0.9687772300675636
10	15	41	0.9672336798621928
9	15	20	0.9598148655960982
10	15	1	0.9549422466661948
8	15	8	0.9507528507891024
9	15	12	0.9505995442793276
10	15	29	0.944183890877546
15	15	6	0.9404415312655356
18	15	18	0.9392991437718814
8	15	16	0.9372582096230176
15	15	1	0.9356700972415036
9	15	29	0.9332917405280012
8	15	21	0.9325295348133192
8	15	32	0.9300642167384868
8	15	20	0.9297929306974156
16	15	4	0.9277429604171142
15	15	8	0.9205166042595688
16	15	6	0.91750292632693
15	15	22	0.9154565061135028
9	15	28	0.910848829435988
17	15	18	0.90876602702083
8	15	22	0.9052486715596044
8	15	23	0.8958659577057472
15	15	21	0.8958499992157398
16	15	20	0.8931257722245316
15	15	20	0.8915864698285584
16	15	1	0.8815791328113086
8	15	34	0.8794535479425502
2	15	10	0.8788960334143419
16	15	8	0.8725312575213746
14	15	5	0.8689868607074019
8	15	17	0.8681436931113912
12	15	10	0.8670511503469261
16	15	21	0.8662337467877738
14	15	3	0.8591330149102648
8	15	40	0.8573295589445099
2	15	3	0.8567631840354256
14	15	2	0.8555177103727071
12	15	3	0.8518105337201136
8	15	7	0.8460862163523832
10	15	16	0.8458285566913879
8	15	37	0.8397197030087601
8	15	38	0.8396029597743919
8	15	39	0.8382576920599172
16	15	22	0.8378428946912995
14	15	10	0.8374182452610479
13	15	6	0.8317987804053242
15	15	39	0.8288026534608243
15	15	7	0.8281431812720111
16	15	32	0.8221706544761378
8	15	41	0.8215928173075518
8	15	35	0.8207436871206999
16	15	16	0.8206111508936423
3	15	43	0.8169820579624515
15	15	38	0.8151555953297362
14	15	4	0.8146881240275683
15	15	41	0.8106726112389893
3	15	44	0.809470606370247
15	15	37	0.8047187298773101
14	15	6	0.8046271413199771
15	15	36	0.8039135182922257
15	15	32	0.7931406475144602
4	15	43	0.7914097876690533
15	15	34	0.7865710519139509
5	15	44	0.7862824211445231
15	15	40	0.7848007230622804
10	15	22	0.7836899638684488
5	15	43	0.7795409007483012
14	15	1	0.7740275934236839
16	15	7	0.7734168721651631
14	15	20	0.7715771920446076
3	15	10	0.7644606597969552
13	15	20	0.7621709211547363
14	15	21	0.7530601105469215
8	15	36	0.7527185939054705
4	15	44	0.7424699440364756
15	15	35	0.7340019615878076
8	15	33	0.7313695905497061
15	15	10	0.7275552637125816
16	15	39	0.7273154405024117
10	15	6	0.7261715978408531
15	15	33	0.7227807332033821
16	15	38	0.7207905258019318
16	15	34	0.7170545196967953
16	15	41	0.7161023194016067
14	15	16	0.7117754787755185
15	15	29	0.7083961453619284
2	15	43	0.7064769961982944
16	15	37	0.7019738003701242
16	15	36	0.7017193199738595
13	15	21	0.6946685257559243
13	15	4	0.6925275398707881
12	15	44	0.6893323237348673
13	15	1	0.6874707674763257
12	15	43	0.6821395278325488
16	15	40	0.6803763159655634
15	15	43	0.6745125407809438
2	15	44	0.6687679386431681
15	15	44	0.6590273981334862
8	15	29	0.6354880743570275
16	15	35	0.6255977746159848
16	15	33	0.6255841466058407
14	15	22	0.6236367676899544
16	15	29	0.6161345388119344
16	15	12	0.6134735459046469
19	15	18	0.6035380828799065
10	15	28	0.5999657459771626
14	15	8	0.5950012761743172
14	15	14	0.5941128551818783
14	15	32	0.5889825154610698
15	15	3	0.5802180651778237
13	15	8	0.5755134791474208
13	15	7	0.5714790693855852
13	15	22	0.5685640924556765
10	15	21	0.5553607202839295
15	15	16	0.5534550514083807
13	15	16	0.542069046033262
16	15	17	0.5144620291481352
14	15	27	0.5143249899032404
8	15	12	0.4977915878187844
14	15	34	0.4933582613872573
14	15	11	0.4757243256946416
13	15	32	0.471383819060257
14	15	44	0.4673492954301482
13	15	23	0.4629940906184457
13	15	34	0.4606743552674739
14	15	23	0.457216991745525
14	15	7	0.4563370044358315
14	15	43	0.4501082130820764
15	15	17	0.4488604331551636
14	15	29	0.4425030991336405
4	15	10	0.43377443479608013
14	15	42	0.4241481359628636
14	15	41	0.42111370728704206
14	15	33	0.41399047046409015
14	15	12	0.4055985230530053
13	15	39	0.4041495668172698
10	15	7	0.4015512919256492
14	15	39	0.4012115732687211
13	15	36	0.39723911600140654
13	15	38	0.39721770559298
13	15	37	0.39375730645605
14	15	36	0.3931727328603232
14	15	37	0.3894888746340158
14	15	38	0.3881274782879495
13	15	41	0.3790385724010157
14	15	40	0.3786080639096172
14	15	24	0.373816129730313
14	15	35	0.3639645098710457
13	15	40	0.3573842362953499
5	15	10	0.3522708080409862
13	15	29	0.35116671150540457
4	15	3	0.34895965922199
5	15	3	0.3445989202284153
13	15	12	0.3406823788239145
3	15	3	0.3277433690905016
13	15	35	0.3244989132418754
13	15	33	0.3189394949280052
2	15	28	0.3078351743748027
10	15	20	0.3038226930504043
12	15	28	0.2958901734763777
1	15	3	0.28847834496024705
8	15	28	0.2790284073535751
14	15	17	0.2767590907452048
16	15	28	0.26247383278688163
14	15	25	0.2599331605606746
13	15	17	0.2562349333024933
10	15	4	0.2462473932041748
