A1Num	B1Num	B2Num	Mean_classification_prob
9	1	10	0.9957178331565854
9	1	14	0.994946899795195
9	1	16	0.9949452321939114
9	1	8	0.9949339856720836
9	1	11	0.9946546949644508
9	1	17	0.9944262950583213
21	1	5	0.9940889367329672
9	1	28	0.9939405607123736
9	1	23	0.9925580593113776
10	1	28	0.9921656658657086
9	1	12	0.9920785993907856
21	1	22	0.9915730003275479
9	1	19	0.9913888694141724
9	1	22	0.990631478880067
9	1	18	0.9905236766381164
9	1	13	0.9894080225117264
9	1	27	0.9891432982769096
8	1	10	0.9877033399011904
8	1	16	0.9852022586665506
8	1	11	0.9832989145200046
10	1	27	0.981665430115477
8	1	17	0.9807894954548791
8	1	12	0.9765428114998516
8	1	19	0.9707026670184684
21	1	21	0.9673619941796104
8	1	18	0.9671661715522624
8	1	22	0.9667956334416732
9	1	21	0.9636170993375812
8	1	13	0.9628095573304948
17	1	10	0.9612116907398692
8	1	8	0.959710689918957
10	1	8	0.9595145327995552
8	1	14	0.9589739765053592
9	1	4	0.958925480991434
10	1	14	0.9567140439604154
17	1	11	0.9558676937153352
17	1	16	0.9532430920111687
17	1	17	0.9520736679875588
8	1	23	0.9520551035572437
8	1	4	0.9508829270639528
8	1	21	0.9498463011553864
10	1	23	0.9498362489834478
10	1	16	0.9494017659261212
10	1	10	0.9487043961535004
17	1	4	0.9428223335764412
8	1	28	0.941862074043884
15	1	4	0.9417750119809336
22	1	5	0.9361801877182994
15	1	19	0.9247325264097476
10	1	17	0.9244349859652408
15	1	14	0.9229486080525412
15	1	8	0.9224343456698256
17	1	14	0.9212764878136886
17	1	12	0.9208757353257124
17	1	8	0.9171987971233656
10	1	11	0.9170847858578848
2	1	10	0.9156726553354324
10	1	22	0.9097477765460716
17	1	19	0.9075758995139528
15	1	13	0.9075015504528756
17	1	18	0.9059029676957536
15	1	27	0.905280397301062
15	1	22	0.9033986288024578
15	1	6	0.8970670102385854
15	1	28	0.8955866087109391
10	1	12	0.8954764595938411
17	1	22	0.8939248987918786
15	1	23	0.8937541921112541
17	1	13	0.8924383395077143
2	1	16	0.892121980068624
14	1	10	0.8903432471743762
22	1	21	0.8846423493349762
17	1	6	0.8841082224059492
12	1	10	0.8836535900511047
3	1	30	0.8835215986318363
13	1	4	0.8826507081758582
14	1	4	0.8821763956832365
14	1	11	0.8722630234626995
12	1	16	0.8670235617844806
14	1	16	0.8669313504128334
10	1	13	0.8659984734535054
14	1	17	0.8645292313862142
14	1	3	0.8608538557475143
14	1	9	0.8588356723478244
14	1	2	0.8579257226946443
14	1	15	0.8555177103727071
10	1	19	0.8457511166327509
17	1	27	0.8435627957666427
15	1	10	0.8417806379423075
17	1	28	0.8339487352808225
10	1	18	0.8320913321723964
15	1	7	0.8317327199770079
2	1	30	0.8259975008379545
4	1	30	0.8161407257986377
8	1	27	0.8147999161797546
17	1	21	0.8090470619156492
2	1	3	0.8057088846622672
13	1	17	0.8047372388988177
15	1	21	0.8013234023626964
14	1	12	0.7976044700408993
17	1	7	0.7953214054553418
21	1	26	0.7936132128054868
15	1	16	0.7897789219272231
13	1	12	0.7869972390196501
13	1	10	0.7856114995859085
14	1	18	0.785377631299324
14	1	19	0.7838576229145451
14	1	24	0.7738022152764751
12	1	30	0.7717297100133252
9	1	26	0.7659472950092693
14	1	14	0.7635233295863293
14	1	22	0.7592916795531862
13	1	16	0.7567470003343532
14	1	8	0.7530249244891687
13	1	11	0.7526644012525613
14	1	13	0.7463121755832642
13	1	19	0.7422598113955311
13	1	18	0.7383406528412491
13	1	13	0.7379203341324044
10	1	26	0.7332772034771483
15	1	30	0.7234368218565335
12	1	3	0.7226049523147311
14	1	23	0.7066587937202365
21	1	25	0.7041511946658219
13	1	21	0.6689945008364571
14	1	21	0.6486048178795356
13	1	22	0.6263784550734173
17	1	25	0.6242323651287505
8	1	25	0.6222250979818812
13	1	23	0.6117517128332579
13	1	14	0.593050662725376
14	1	31	0.5888906227190297
13	1	8	0.5851522985618809
22	1	25	0.5848270782988783
14	1	30	0.5766371782700388
14	1	29	0.5393723678994372
9	1	25	0.5350161888799881
14	1	27	0.526687490376862
13	1	25	0.5191221460986735
17	1	26	0.5153475227500555
3	1	10	0.5116364877966615
14	1	28	0.5050764101236511
14	1	25	0.504493151991876
13	1	28	0.4930507468922323
5	1	30	0.4688545330760928
4	1	10	0.4615614912379893
8	1	26	0.4589877752093343
13	1	27	0.4530404850180468
12	1	26	0.4530154191828778
3	1	16	0.4522516157152245
5	1	10	0.4517361850144834
22	1	26	0.4439788090105973
1	1	10	0.4267640946763451
5	1	16	0.4054544183462876
8	1	20	0.4052180984667922
4	1	16	0.3951257659912725
1	1	16	0.388165382335596
11	1	4	0.3748080914239504
7	1	4	0.3566169425378394
1	1	3	0.35442441843473044
15	1	17	0.32692705331486066
13	1	20	0.30353165727979176
3	1	3	0.26081228574164106
10	1	21	0.2588185283311861
14	1	26	0.2471170024855459
4	1	3	0.24492472837253604
5	1	3	0.23777052647317334
14	1	20	0.2257279838002791
13	1	26	0.21360145879549872
6	1	4	0.2104984937738263
15	1	18	0.2038732972246727
1	1	30	0.20147271861940647
12	1	25	0.19610526538400605
15	1	3	0.1655905056604164
2	1	26	0.16477282754091735
15	1	26	0.1400345186723305
10	1	4	0.1173563051327337
9	1	20	0.09667747423527867
5	1	26	0.09189286916494233
10	1	25	0.08193312197862762
10	1	20	0.07739537325814881
3	1	26	0.07660520812208364
5	1	25	0.0764245221417502
4	1	26	0.07536681439814355
4	1	25	0.0631089847624609
11	1	17	0.05399379251564382
15	1	25	0.04688297936036138
15	1	20	0.04260128779232468
3	1	25	0.03996981603273129
7	1	17	0.03982492226158617
11	1	19	0.03905324160034915
2	1	25	0.03840065475013128
