A1Num	B1Num	B2Num	Mean_classification_prob
9	3	1	0.994868900673264
9	3	23	0.9930392951080016
9	3	37	0.9923164568620636
9	3	36	0.9922681448789771
9	3	38	0.9921399888547368
9	3	39	0.9920959089647804
9	3	12	0.9919774813111232
9	3	8	0.9919713370046922
9	3	22	0.991772198537764
9	3	16	0.991291515083236
9	3	34	0.9908466562792716
9	3	28	0.9908363488022304
9	3	17	0.990523180303515
9	3	32	0.9896157831603364
9	3	33	0.9895525978501596
9	3	4	0.9887505668420432
9	3	41	0.9885066971061292
9	3	35	0.9880665884580846
9	3	40	0.9859221111452618
8	3	1	0.9855123219815836
8	3	4	0.9791101115767792
9	3	21	0.9770625680153496
10	3	33	0.9729778573924376
10	3	32	0.9725612849230398
18	3	18	0.9723868073501002
8	3	12	0.9685960149603886
10	3	1	0.9613138598235684
8	3	16	0.9605949796190878
10	3	8	0.9602462392900292
9	3	29	0.9590553443656558
10	3	39	0.9584072517889908
16	3	1	0.957067508936408
10	3	36	0.9561072833074464
15	3	1	0.9560175396472056
8	3	28	0.9553660073219776
8	3	21	0.9533425677602542
10	3	38	0.9497171200537056
8	3	7	0.9483980360252724
10	3	37	0.9474345412757114
16	3	4	0.9450017049071756
10	3	35	0.944187974116874
8	3	6	0.9430744154216524
10	3	34	0.9427409521175149
8	3	22	0.9409427976355436
10	3	23	0.9388583817553158
8	3	23	0.9341338322602158
15	3	34	0.926156439896366
10	3	41	0.9229280910781006
10	3	40	0.9206694460998022
16	3	12	0.9184803532400864
8	3	17	0.9155132342763288
8	3	20	0.9129225091731452
15	3	8	0.9113710774823776
15	3	22	0.9109826562822494
8	3	34	0.9097916296149394
15	3	36	0.9079208692370084
15	3	37	0.9054356078815032
16	3	16	0.9051835670619364
15	3	38	0.9049590593621144
10	3	29	0.9026909796604295
10	3	17	0.9008328297661174
15	3	39	0.9006560254301954
8	3	40	0.8992599442257807
16	3	28	0.8982842046036149
15	3	35	0.8935488431098395
8	3	8	0.8933838340824997
8	3	37	0.8922743107234348
8	3	38	0.8921931065574982
8	3	39	0.8913124164554754
15	3	21	0.8895390694556413
15	3	33	0.8875822787087612
2	3	10	0.8858767357305035
8	3	41	0.882002469589715
14	3	5	0.880098313150814
16	3	22	0.8767827269761279
15	3	41	0.8766976739017687
16	3	34	0.8747517453237975
16	3	21	0.8662558521618231
8	3	32	0.8650095325145379
14	3	10	0.8627656768951116
14	3	1	0.8615596428850235
12	3	10	0.8612794286926038
14	3	4	0.8591799174634943
14	3	15	0.8591330149102648
13	3	4	0.8590240958757869
14	3	2	0.8579257226946443
15	3	40	0.8575119806142015
2	3	15	0.8567631840354256
8	3	35	0.8553914948379793
12	3	15	0.8518105337201136
15	3	32	0.8491145413240223
16	3	8	0.8485141227735588
16	3	36	0.8441308410802766
16	3	37	0.8391790796022497
16	3	38	0.8386450867803157
15	3	29	0.8380499442997923
16	3	39	0.8309092245951384
10	3	28	0.8289293896775837
15	3	7	0.8282019333667106
3	3	43	0.8250321357781124
16	3	35	0.8216796476233447
16	3	33	0.818522706111407
14	3	11	0.8180948626952305
2	3	43	0.8166609819370317
8	3	36	0.8155805034457575
15	3	6	0.8082842312184155
15	3	20	0.8074080592837509
16	3	20	0.8042397816011666
16	3	41	0.7996236327046256
2	3	44	0.7984203960680712
4	3	43	0.7956700151238342
14	3	12	0.7926936137232938
13	3	12	0.7904419676955169
12	3	44	0.7898513621732317
16	3	7	0.7860249106064648
10	3	22	0.7844110366521546
2	3	28	0.7838100890513531
8	3	33	0.7833225852372343
16	3	32	0.7794641636407847
16	3	40	0.7766810231441821
14	3	16	0.7762112812110159
3	3	44	0.773787797566886
12	3	43	0.7717026033723207
12	3	28	0.7705628322321738
13	3	16	0.7701713382963636
14	3	14	0.7701045768252857
16	3	6	0.7693608864215045
14	3	26	0.7686811259962891
14	3	28	0.7686307535413709
14	3	9	0.7647882079915569
10	3	12	0.7616752958022542
14	3	27	0.7606247933962677
13	3	20	0.7572292198281012
16	3	29	0.7560534676189132
14	3	20	0.7541958961983396
14	3	22	0.7520432787980534
14	3	13	0.7388006817639063
8	3	29	0.7387705025492641
13	3	7	0.7372381152511736
19	3	18	0.7351351040953688
13	3	6	0.7262732602370062
13	3	21	0.7205774306079655
13	3	1	0.7164923465650288
14	3	21	0.7094402842326859
14	3	7	0.7020369050763321
10	3	16	0.7019530058896484
15	3	44	0.7013695490949895
15	3	43	0.700770331120027
14	3	6	0.6924731550118183
14	3	23	0.661126910702864
14	3	25	0.6545415591099963
15	3	10	0.6464414741281048
13	3	28	0.6414445763918394
16	3	17	0.638284189204948
4	3	44	0.6370024120517673
14	3	39	0.6323151804456243
14	3	34	0.6320696055133154
13	3	22	0.619456041230602
14	3	41	0.6133095397681327
14	3	8	0.6042538183284956
14	3	38	0.5940538709511266
14	3	37	0.5926744832780266
13	3	34	0.591625871828167
13	3	23	0.5847874890338619
9	3	6	0.5819039445126745
15	3	15	0.5802180651778237
14	3	40	0.5754943341036777
14	3	36	0.5624215804377735
9	3	7	0.5432437405666001
14	3	44	0.5424258363478667
14	3	42	0.5336903624611048
14	3	43	0.526451901592629
14	3	29	0.5209942211315375
13	3	41	0.5186120934864165
13	3	39	0.5100825057889363
13	3	36	0.5091682389807514
13	3	38	0.5051849579937556
13	3	37	0.5043925953776834
14	3	35	0.5005033207281998
13	3	8	0.4965624212388078
13	3	29	0.4841788183215514
14	3	33	0.4776035565888115
13	3	33	0.474962780745302
13	3	40	0.4724796523665692
14	3	32	0.4685944399841745
14	3	17	0.4647568275805464
14	3	30	0.4575670166774008
13	3	35	0.4528827594670343
5	3	43	0.4506570321057077
4	3	10	0.43928647751801775
5	3	10	0.4372498955975858
13	3	32	0.42234812521596055
3	3	10	0.4142141368985014
9	3	20	0.4076725145916653
5	3	44	0.3987478232142513
13	3	17	0.3781950605151704
14	3	24	0.36853855636277855
4	3	15	0.34895965922199
10	3	4	0.3463030067692741
5	3	15	0.3445989202284153
3	3	15	0.3277433690905016
1	3	10	0.3188544619723329
1	3	15	0.28847834496024705
4	3	28	0.2756018178106677
5	3	28	0.2733698603116592
14	3	31	0.2637348757208102
3	3	28	0.2629837946266473
10	3	21	0.26074939376617384
1	3	43	0.24701567116390105
11	3	34	0.2328788682441448
1	3	28	0.21460069356291608
15	3	28	0.21405267332813946
15	3	16	0.20012297765447454
7	3	34	0.18656730464469334
10	3	7	0.1722369409384098
15	3	4	0.16725658260491952
6	3	34	0.16709779770705274
15	3	17	0.16011860657308
10	3	6	0.15795720543688954
15	3	12	0.1556024536918846
10	3	20	0.1264865186512542
1	3	44	0.1208329156095554
11	3	23	0.08989510585976397
9	3	19	0.0768926875175137
13	3	19	0.0725657637581483
11	3	4	0.06858604737860602
11	3	29	0.06516553378225652
11	3	41	0.053958524713255664
11	3	16	0.053014076823420415
11	3	39	0.05247844590204455
11	3	40	0.05078507798174378
11	3	38	0.0507350343823828
10	3	19	0.04883862835902465
11	3	28	0.04308663561448861
11	3	37	0.04051839915743758
7	3	4	0.040230963102662005
11	3	22	0.03766597765610148
7	3	23	0.036218471508349115
11	3	36	0.03617873543003535
11	3	17	0.03529615889376445
7	3	16	0.0350058966550532
11	3	8	0.034853636363526584
8	3	19	0.03475012387250058
14	3	19	0.03423449920664415
7	3	20	0.03350661408836498
11	3	35	0.03347662674473207
11	3	21	0.033266112853325834
7	3	29	0.03224957170618169
11	3	32	0.03201237256396402
11	3	33	0.031966777635305026
7	3	6	0.029945932458016526
6	3	23	0.029637087897705295
6	3	29	0.026592726284257285
7	3	28	0.02654333569867632
7	3	22	0.025984283307287602
11	3	20	0.025951447838396847
7	3	7	0.025747801154851542
6	3	16	0.02545430032288381
7	3	17	0.02303075119228928
11	3	12	0.022643207278636696
7	3	19	0.021555053229474184
16	3	19	0.02135066784123509
11	3	7	0.020742379246596658
11	3	6	0.019979335776562652
6	3	28	0.018767105941100103
7	3	12	0.01771742344191259
6	3	22	0.01715141016703724
7	3	41	0.01668067470272672
7	3	21	0.016548544608532556
7	3	38	0.015385422072012503
7	3	37	0.015384497968870571
7	3	39	0.0153770802904244
7	3	36	0.015350642288507594
6	3	4	0.0150650330794133
7	3	8	0.014522661635545862
7	3	35	0.014133438420371418
15	3	19	0.014054130738971205
7	3	40	0.013788611998403429
7	3	1	0.013327280419920436
6	3	17	0.013292594386337706
7	3	33	0.013241549013207956
7	3	32	0.01314584951802715
6	3	39	0.012374018674149868
6	3	36	0.012337834448099542
6	3	38	0.012326801654051379
6	3	37	0.012326004184716476
6	3	41	0.012041602132083207
11	3	19	0.011785020825976305
6	3	8	0.011702715624109588
11	3	1	0.011337294058295215
6	3	35	0.011314688767370002
6	3	12	0.01123021045008405
6	3	40	0.011092389564946709
6	3	20	0.010913855616138734
6	3	33	0.010526553204197969
6	3	32	0.010458196409841945
6	3	1	0.010172553505982193
6	3	7	0.009274959785940987
6	3	6	0.008950122734007783
6	3	21	0.008657532766021471
6	3	19	0.00789009456914063
