A1Num	B1Num	B2Num	Mean_classification_prob
9	8	14	0.995161423925968
9	8	1	0.9949339856720836
21	8	5	0.9948781679625784
9	8	17	0.9948489006269025
9	8	11	0.99477325757912
9	8	4	0.9937731469437924
9	8	28	0.9935274418711912
9	8	23	0.9934242113607814
9	8	12	0.992762196212186
9	8	19	0.9921813139681768
9	8	18	0.991542938454822
9	8	27	0.9911607807689512
9	8	22	0.9910690943322727
9	8	13	0.990546236213295
10	8	28	0.989247497293795
10	8	27	0.9870784751238184
10	8	14	0.9824970778665176
10	8	23	0.9752535895870742
8	8	11	0.972131168151689
8	8	4	0.9704523540225076
8	8	17	0.9701489026720244
8	8	12	0.9689824387190726
8	8	13	0.9641198093226542
10	8	22	0.963539645240716
8	8	19	0.9603783555048696
8	8	1	0.959710689918957
10	8	1	0.9595145327995552
8	8	18	0.9571003338992536
8	8	23	0.9541185744058882
8	8	22	0.9511181673333822
3	8	30	0.9497338539313276
8	8	14	0.9405945572061468
8	8	28	0.9396009892403522
17	8	4	0.937293004997354
9	8	21	0.9332897221123556
15	8	19	0.930317811000641
15	8	14	0.9290538366451899
2	8	10	0.927663024687848
10	8	17	0.9254415163784421
17	8	17	0.925068304622861
15	8	1	0.9224343456698256
15	8	23	0.92058451835123
3	8	10	0.9184893240226141
15	8	13	0.9184262759854414
21	8	22	0.9179923123636896
17	8	1	0.9171987971233656
17	8	12	0.9115019682498792
2	8	16	0.9093071406665306
4	8	10	0.9063562506617148
10	8	4	0.9029263920106272
15	8	22	0.8971697788411326
3	8	16	0.8959124959691738
10	8	11	0.8958616181526038
17	8	13	0.8950758052366211
17	8	11	0.8862958366873245
12	8	10	0.8860034940931989
17	8	19	0.8813453524538117
17	8	14	0.8785068314823546
21	8	21	0.8783200009110057
17	8	18	0.8742917827900547
12	8	16	0.8725320139296104
15	8	27	0.8695521030695431
22	8	5	0.8679994244896021
4	8	30	0.8673223584502088
15	8	28	0.8592852729593031
15	8	10	0.8577676735531772
8	8	27	0.8547194450465676
10	8	12	0.854036889480398
9	8	25	0.8532527076465286
10	8	13	0.8481102234519856
4	8	16	0.8480961513362627
14	8	11	0.8431940304303448
9	8	20	0.8384991146849916
12	8	30	0.8314680052795618
14	8	17	0.8311492712971044
17	8	22	0.8308709350987786
10	8	18	0.8284383027855289
21	8	25	0.8213362380626203
15	8	30	0.8210983285193387
5	8	30	0.8164693112862396
17	8	27	0.8147267813956881
17	8	28	0.8129482246521103
14	8	4	0.8102676251959491
10	8	19	0.8083910760707456
10	8	26	0.8049890389997911
14	8	12	0.7999092833786182
15	8	16	0.798314928340619
9	8	26	0.7980565968798878
15	8	7	0.79495055311305
2	8	30	0.7939686581890629
2	8	3	0.7920304069625591
15	8	6	0.7892202920355367
14	8	19	0.7833000842950737
15	8	17	0.7714920848201199
14	8	2	0.7647882079915569
14	8	18	0.7616338505360524
14	8	13	0.7594025938088612
14	8	1	0.7530249244891687
17	8	6	0.7374387597864456
13	8	17	0.7182062742066491
13	8	11	0.7167714697247249
12	8	3	0.7147916812100393
14	8	3	0.7096575164902486
17	8	7	0.7041435566974941
14	8	22	0.6824474924599245
13	8	12	0.6689144722229754
13	8	4	0.6617263508654158
14	8	14	0.658349846277627
13	8	18	0.6503795948178761
13	8	19	0.6491441813472784
8	8	20	0.6246406388454941
15	8	18	0.6237963899249542
14	8	23	0.6192183279281774
13	8	13	0.6051367361168363
13	8	1	0.5851522985618809
17	8	26	0.5721692325901181
13	8	23	0.568153746169078
14	8	31	0.5671799332086751
14	8	30	0.5637385043619725
14	8	28	0.5636443821705883
13	8	22	0.5600959293380964
14	8	29	0.5536725686715444
21	8	26	0.5483641870689919
13	8	14	0.5461778646757479
12	8	26	0.5461650787215508
14	8	27	0.5089657579787172
8	8	26	0.48797601778194205
15	8	20	0.4876486105349507
5	8	10	0.485339933843762
15	8	26	0.4562495424728562
17	8	20	0.4516036942657424
13	8	28	0.4383212351410081
13	8	27	0.43703881906900216
5	8	16	0.4297671206175322
13	8	20	0.4243643928701099
10	8	21	0.4193254768743251
1	8	10	0.4118912724689946
3	8	26	0.4074113670294082
15	8	21	0.37977567594392897
1	8	16	0.3764151509834269
8	8	21	0.3452709792771917
2	8	26	0.3210992873856696
14	8	26	0.3146656728154035
