StructuredFormula,found_on_web
AgBrO3,1
AgCdBr3,1
PbAgBr3,1
AgCaCl3,1
AgClO3,1
AgMgCl3,1
AgSnCl3,1
AgCoF3,1
AgCuF3,1
AgMgF3,1
AgMnF3,1
AgNiF3,1
PbAgF3,1
AgZnF3,1
AgNO3,1
AgNbO3,1
AgPO3,1
AgSbO3,1
AgTaO3,1
AgVO3,1
AlBO3,1
BiAlO3,1
CeAlO3,1
ErAlO3,1
EuAlO3,1
FeAlO3,1
LaAlO3,1
NdAlO3,1
PrAlO3,1
SmAlO3,1
TbAlO3,1
TmAlO3,1
YAlO3,1
YbAlO3,1
BaAmO3,1
SrAmO3,1
AmVO3,1
LiAsO3,1
NaAsO3,1
SbAsO3,1
CrBO3,1
ErBO3,1
EuBO3,1
FeBO3,1
GdBO3,1
HoBO3,0
InBO3,1
LaBO3,1
ScBO3,1
TmBO3,1
VBO3,1
YBO3,1
CsBaBr3,1
KBaBr3,1
BaNaBr3,1
RbBaBr3,1
BaCO3,1
BaCeO3,1
CsBaCl3,1
KBaCl3,1
BaLiCl3,1
BaNaCl3,1
BaCoO3,1
BaCrO3,1
CsBaF3,1
KBaF3,1
BaGeO3,1
BaHfO3,1
BaIrO3,1
BaMnO3,1
BaMoO3,1
BaNpO3,1
BaPaO3,1
BaPbO3,0
BaSiO3,1
BaThO3,1
BaTiO3,1
BaUO3,1
KBeCl3,1
NaBeCl3,1
RbBeCl3,1
TlBeCl3,1
CsBeF3,1
RbBeF3,1
BiInO3,1
KBiO3,1
LiBiO3,1
BiMnO3,1
NaBiO3,1
BiScO3,1
CsBrO3,1
KBrO3,1
NaBrO3,1
RbBrO3,1
TlBrO3,1
CaLiBr3,1
NaCaBr3,1
CsCdBr3,1
NaCdBr3,1
RbCdBr3,1
KCoBr3,1
LiCoBr3,1
CsHgBr3,1
CsMnBr3,1
CsNiBr3,1
CsSnBr3,1
CsTiBr3,1
LiMgBr3,1
SrLiBr3,1
NaMgBr3,1
RbMnBr3,1
SrNaBr3,1
RbNiBr3,1
CdCO3,1
CoCO3,1
MgCO3,1
PbCO3,1
SrCO3,1
CsCaCl3,1
CaCuCl3,1
KCaCl3,1
NaCaCl3,1
RbCaCl3,1
CsCaF3,1
KCaF3,1
CaLiF3,0
NaCaF3,1
CaHfO3,1
KCaI3,1
NaCaI3,1
RbCaI3,1
CaIrO3,1
CaNbO3,1
CaPbO3,1
CaRuO3,1
CaSiO3,1
