Chemical_formula	found_on_web
(Ce0.05Pr0.95)MnO3	0
(Ce0.3Pr0.7)MnO3	0
(Ce0.3Nd0.7)MnO3	0
(Eu0.05Gd0.95)MnO3	0
(Eu0.3Gd0.7)MnO3	0
(Nd0.3Sm0.7)FeO3	0
(La0.05Nd0.95)FeO3	0
(La0.3Nd0.7)FeO3	0
(La0.05Ce0.95)FeO3	0
(Ce0.05Nd0.95)FeO3	0
(Ce0.05Pr0.95)FeO3	0
(Ce0.3Pr0.7)FeO3	0
(Ce0.3Nd0.7)FeO3	0
(Ce0.3Sm0.7)FeO3	0
(La0.3Eu0.7)FeO3	0
(Ba0.95La0.05)CeO3	0
(Ba0.9La0.1)CeO3	0
(La0.3Ce0.7)FeO3	0
(Ba0.95Yb0.05)CeO3	0
(Pr0.05Nd0.95)MnO3	0
(Pr0.3Nd0.7)MnO3	0
(Ba0.95Nd0.05)CeO3	0
(Ba0.9Nd0.1)CeO3	0
(Ba0.95Eu0.05)CeO3	0
Sr(Zr0.15Mo0.85)O3	0
(Sm0.05Eu0.95)FeO3	0
(Sm0.3Eu0.7)FeO3	0
(Ba0.95Sm0.05)CeO3	0
(Ba0.9Eu0.1)CeO3	0
(Nd0.3Eu0.7)FeO3	0
(Ce0.3Eu0.7)MnO3	0
(Nd0.3Sm0.7)MnO3	0
(Nd0.3Eu0.7)MnO3	0
(Nd0.05Sm0.95)MnO3	0
(Sm0.3Eu0.7)MnO3	0
(Nd0.05Sm0.95)FeO3	0
(Nd0.05Eu0.95)FeO3	0
(Ba0.9Sm0.1)CeO3	0
(Nd0.05Eu0.95)MnO3	0
(Ce0.05Sm0.95)MnO3	0
(Ce0.3Sm0.7)MnO3	0
(Pr0.3Eu0.7)FeO3	0
(Ce0.3Eu0.7)FeO3	0
(Ba0.9Yb0.1)CeO3	0
Eu(Mn0.65Mo0.35)O3	0
(Ce0.05Eu0.95)MnO3	0
(Ce0.05Sm0.95)FeO3	0
(Pr0.05Nd0.95)FeO3	0
(Sm0.05Eu0.95)MnO3	0
(Pr0.3Nd0.7)FeO3	0
(Pr0.3Sm0.7)FeO3	0
(Ce0.05Nd0.95)MnO3	0
Sr(Zr0.2Mo0.8)O3	0
(Ce0.05Eu0.95)FeO3	0
(Sm0.05Gd0.95)FeO3	0
(Pr0.3Eu0.7)MnO3	0
Ba(La0.4W0.6)O3	0
(La0.05Eu0.95)FeO3	0
(Pr0.05Sm0.95)MnO3	0
Eu(Mn0.55Mo0.45)O3	0
(Sm0.3Gd0.7)FeO3	0
(Pr0.3Sm0.7)MnO3	0
(Nd0.3Gd0.7)FeO3	0
Eu(Mn0.5Mo0.5)O3	0
(Ba0.95Gd0.05)CeO3	0
(Pr0.05Eu0.95)MnO3	0
(Ba0.9Gd0.1)CeO3	0
Eu(Fe0.8Mo0.2)O3	0
(Pr0.05Sm0.95)FeO3	0
(Ce0.3Gd0.7)MnO3	0
Sr(Zr0.05Tc0.95)O3	0
(Pr0.05Eu0.95)FeO3	0
(Ce0.3Gd0.7)FeO3	0
(Nd0.3Gd0.7)MnO3	0
(Sm0.05Gd0.95)MnO3	0
Eu(Fe0.55Mo0.45)O3	0
(Sm0.3Gd0.7)MnO3	0
Eu(Mn0.65W0.35)O3	0
Sr(Sc0.15Tc0.85)O3	0
(La0.05Pr0.95)CrO3	0
(La0.3Pr0.7)CrO3	0
(Nd0.05Gd0.95)MnO3	0
(La0.05Ce0.95)CrO3	0
(La0.3Ce0.7)CrO3	0
(Ce0.3Eu0.7)CrO3	0
(Ce0.05Pr0.95)CrO3	0
(Ce0.3Pr0.7)CrO3	0
(Ce0.3Nd0.7)CrO3	0
(Nd0.3Sm0.7)CrO3	0
Sr(Zr0.1Tc0.9)O3	0
Sr(Y0.4Mo0.6)O3	0
Eu(Mn0.55W0.45)O3	0
(Ba0.85La0.15)CeO3	0
Sr(Zr0.15Tc0.85)O3	0
(Ce0.05Gd0.95)MnO3	0
(Ce0.05Gd0.95)FeO3	0
(Pr0.3Gd0.7)MnO3	0
(Ce0.05Nd0.95)CrO3	0
(Ce0.3Sm0.7)CrO3	0
(Pr0.3Gd0.7)FeO3	0
(La0.3Eu0.7)CrO3	0
Ba(Y0.75Tc0.25)O3	0
Sr(Zr0.65Mo0.35)O3	0
Sr(Zr0.6Mo0.4)O3	0
Eu(Fe0.5Mo0.5)O3	0
(Nd0.05Gd0.95)FeO3	0
Sr(Sc0.4Mo0.6)O3	0
Eu(Fe0.9Mo0.1)O3	0
Sr(Hf0.95Zr0.05)O3	0
Sr(Ti0.05Tc0.95)O3	0
(Ba0.85Nd0.15)CeO3	0
Sr(Y0.15Tc0.85)O3	0
Sr(Zr0.2Tc0.8)O3	0
Eu(Fe0.95Mo0.05)O3	0
(Pr0.05Gd0.95)MnO3	0
(Pr0.05Gd0.95)FeO3	0
Eu(Mn0.5W0.5)O3	0
(La0.3Gd0.7)CrO3	0
Sr(Zr0.05Re0.95)O3	0
La(Fe0.2Ru0.8)O3	0
Sr(Hf0.9Zr0.1)O3	0
Ba(Ce0.9U0.1)O3	0
Sr(Zr0.15Re0.85)O3	0
Sr(Zr0.25Tc0.75)O3	0
Sr(Ti0.1Tc0.9)O3	0
Sr(Hf0.85Zr0.15)O3	0
Sr(Ti0.05W0.95)O3	0
Ba(Y0.5Pa0.5)O3	0
Ce(Sc0.2Cr0.8)O3	0
Ba(Ho0.5Pa0.5)O3	0
Ba(Sm0.5Pa0.5)O3	0
Ce(Fe0.2Ru0.8)O3	0
Sr(Zr0.2Re0.8)O3	0
Ba(Er0.5Pa0.5)O3	0
Ba(Eu0.5Pa0.5)O3	0
Ba(Tm0.5Pa0.5)O3	0
Eu(Fe0.55W0.45)O3	0
(La0.05Bi0.95)CrO3	0
(La0.3Bi0.7)CrO3	0
Eu(Fe0.5W0.5)O3	0
Ba(Dy0.5Pa0.5)O3	0
Ba(Y0.6Tc0.4)O3	0
(Pr0.3Nd0.7)CrO3	0
(Pr0.3Eu0.7)CrO3	0
Sr(Zr0.15W0.85)O3	0
Sr(Hf0.95Ti0.05)O3	0
(Ba0.85Sm0.15)CeO3	0
(Ba0.85Eu0.15)CeO3	0
Sr(Hf0.8Zr0.2)O3	0
(Nd0.3Eu0.7)CrO3	0
La(Fe0.2Ir0.8)O3	0
Eu(Mn0.65Re0.35)O3	0
Sr(Ti0.1W0.9)O3	0
Sr(Sc0.3Tc0.7)O3	0
Sr(Zr0.3Tc0.7)O3	0
Sr(Zr0.25Re0.75)O3	0
Eu(Mn0.7Mo0.3)O3	0
(Pr0.05Nd0.95)CrO3	0
(Pr0.3Sm0.7)CrO3	0
Sr(Ti0.15W0.85)O3	0
(Ce0.05Sm0.95)CrO3	0
Sr(Y0.45Tc0.55)O3	0
Sr(Zr0.1Re0.9)O3	0
Sr(Y0.3Tc0.7)O3	0
(Nd0.05Sm0.95)CrO3	0
Sr(Sc0.45Tc0.55)O3	0
Sr(Zr0.35Tc0.65)O3	0
Ba(Ce0.7Pa0.3)O3	0
Ce(Fe0.2Ir0.8)O3	0
Sr(Ti0.05Re0.95)O3	0
Ba(Yb0.5Pa0.5)O3	0
Pr(Fe0.2Ru0.8)O3	0
Ba(Lu0.5Pa0.5)O3	0
Eu(Fe0.9W0.1)O3	0
Sr(Zr0.3Re0.7)O3	0
Sr(Hf0.9Ti0.1)O3	0
Sr(Zr0.2W0.8)O3	0
Sr(Hf0.75Zr0.25)O3	0
